



2020-05-07 02-59-21

0: loss=1.406, reward_mean=0.010, reward_bound=0.000, batch=1 
1: loss=1.401, reward_mean=0.000, reward_bound=0.000, batch=1 
2: loss=1.383, reward_mean=0.030, reward_bound=0.000, batch=4 
3: loss=1.384, reward_mean=0.020, reward_bound=0.000, batch=6 
4: loss=1.384, reward_mean=0.010, reward_bound=0.000, batch=7 
5: loss=1.385, reward_mean=0.010, reward_bound=0.000, batch=8 
6: loss=1.385, reward_mean=0.000, reward_bound=0.000, batch=8 
7: loss=1.385, reward_mean=0.020, reward_bound=0.000, batch=10 
8: loss=1.385, reward_mean=0.020, reward_bound=0.000, batch=12 
9: loss=1.385, reward_mean=0.050, reward_bound=0.000, batch=17 
10: loss=1.384, reward_mean=0.020, reward_bound=0.000, batch=19 
11: loss=1.384, reward_mean=0.000, reward_bound=0.000, batch=19 
12: loss=1.384, reward_mean=0.000, reward_bound=0.000, batch=19 
13: loss=1.384, reward_mean=0.000, reward_bound=0.000, batch=19 
14: loss=1.383, reward_mean=0.020, reward_bound=0.000, batch=21 
15: loss=1.383, reward_mean=0.010, reward_bound=0.000, batch=22 
16: loss=1.383, reward_mean=0.040, reward_bound=0.000, batch=26 
17: loss=1.383, reward_mean=0.020, reward_bound=0.000, batch=28 
18: loss=1.383, reward_mean=0.010, reward_bound=0.000, batch=29 
19: loss=1.383, reward_mean=0.020, reward_bound=0.000, batch=31 
20: loss=1.383, reward_mean=0.030, reward_bound=0.000, batch=34 
21: loss=1.383, reward_mean=0.000, reward_bound=0.000, batch=34 
22: loss=1.383, reward_mean=0.030, reward_bound=0.000, batch=37 
23: loss=1.383, reward_mean=0.010, reward_bound=0.000, batch=38 
24: loss=1.383, reward_mean=0.010, reward_bound=0.000, batch=39 
25: loss=1.383, reward_mean=0.010, reward_bound=0.000, batch=40 
26: loss=1.382, reward_mean=0.020, reward_bound=0.000, batch=42 
27: loss=1.382, reward_mean=0.020, reward_bound=0.000, batch=44 
28: loss=1.382, reward_mean=0.020, reward_bound=0.000, batch=46 
29: loss=1.382, reward_mean=0.010, reward_bound=0.000, batch=47 
30: loss=1.382, reward_mean=0.010, reward_bound=0.000, batch=48 
31: loss=1.381, reward_mean=0.010, reward_bound=0.000, batch=49 
32: loss=1.381, reward_mean=0.010, reward_bound=0.000, batch=50 
33: loss=1.381, reward_mean=0.040, reward_bound=0.000, batch=54 
34: loss=1.381, reward_mean=0.030, reward_bound=0.000, batch=57 
35: loss=1.380, reward_mean=0.010, reward_bound=0.000, batch=58 
36: loss=1.380, reward_mean=0.010, reward_bound=0.000, batch=59 
37: loss=1.380, reward_mean=0.020, reward_bound=0.000, batch=61 
38: loss=1.380, reward_mean=0.020, reward_bound=0.000, batch=63 
39: loss=1.380, reward_mean=0.010, reward_bound=0.000, batch=64 
40: loss=1.380, reward_mean=0.020, reward_bound=0.000, batch=66 
41: loss=1.380, reward_mean=0.010, reward_bound=0.000, batch=67 
42: loss=1.379, reward_mean=0.000, reward_bound=0.000, batch=67 
43: loss=1.379, reward_mean=0.040, reward_bound=0.000, batch=71 
44: loss=1.379, reward_mean=0.000, reward_bound=0.000, batch=71 
45: loss=1.379, reward_mean=0.020, reward_bound=0.000, batch=73 
46: loss=1.379, reward_mean=0.020, reward_bound=0.000, batch=75 
47: loss=1.379, reward_mean=0.000, reward_bound=0.000, batch=75 
48: loss=1.378, reward_mean=0.020, reward_bound=0.000, batch=77 
49: loss=1.378, reward_mean=0.010, reward_bound=0.000, batch=78 
50: loss=1.378, reward_mean=0.050, reward_bound=0.000, batch=83 
51: loss=1.378, reward_mean=0.050, reward_bound=0.000, batch=88 
52: loss=1.377, reward_mean=0.040, reward_bound=0.000, batch=92 
53: loss=1.377, reward_mean=0.030, reward_bound=0.000, batch=95 
54: loss=1.377, reward_mean=0.000, reward_bound=0.000, batch=95 
55: loss=1.376, reward_mean=0.000, reward_bound=0.000, batch=95 
56: loss=1.376, reward_mean=0.000, reward_bound=0.000, batch=95 
57: loss=1.376, reward_mean=0.000, reward_bound=0.000, batch=95 
58: loss=1.375, reward_mean=0.000, reward_bound=0.000, batch=95 
59: loss=1.375, reward_mean=0.030, reward_bound=0.000, batch=98 
60: loss=1.374, reward_mean=0.000, reward_bound=0.000, batch=98 
61: loss=1.374, reward_mean=0.010, reward_bound=0.000, batch=99 
62: loss=1.373, reward_mean=0.020, reward_bound=0.000, batch=101 
63: loss=1.373, reward_mean=0.020, reward_bound=0.000, batch=103 
64: loss=1.372, reward_mean=0.010, reward_bound=0.000, batch=104 
65: loss=1.372, reward_mean=0.010, reward_bound=0.000, batch=105 
66: loss=1.372, reward_mean=0.030, reward_bound=0.000, batch=108 
67: loss=1.371, reward_mean=0.030, reward_bound=0.000, batch=111 
68: loss=1.371, reward_mean=0.030, reward_bound=0.000, batch=114 
69: loss=1.371, reward_mean=0.030, reward_bound=0.000, batch=117 
70: loss=1.371, reward_mean=0.000, reward_bound=0.000, batch=117 
71: loss=1.370, reward_mean=0.000, reward_bound=0.000, batch=117 
72: loss=1.370, reward_mean=0.030, reward_bound=0.000, batch=120 
73: loss=1.369, reward_mean=0.030, reward_bound=0.000, batch=123 
74: loss=1.369, reward_mean=0.020, reward_bound=0.000, batch=125 
75: loss=1.368, reward_mean=0.010, reward_bound=0.000, batch=126 
76: loss=1.368, reward_mean=0.050, reward_bound=0.000, batch=131 
77: loss=1.367, reward_mean=0.020, reward_bound=0.000, batch=133 
78: loss=1.367, reward_mean=0.020, reward_bound=0.000, batch=135 
79: loss=1.366, reward_mean=0.010, reward_bound=0.000, batch=136 
80: loss=1.366, reward_mean=0.040, reward_bound=0.000, batch=140 
81: loss=1.366, reward_mean=0.020, reward_bound=0.000, batch=142 
82: loss=1.365, reward_mean=0.030, reward_bound=0.000, batch=145 
83: loss=1.364, reward_mean=0.000, reward_bound=0.000, batch=145 
84: loss=1.364, reward_mean=0.020, reward_bound=0.000, batch=147 
85: loss=1.363, reward_mean=0.050, reward_bound=0.000, batch=152 
86: loss=1.363, reward_mean=0.010, reward_bound=0.000, batch=153 
87: loss=1.362, reward_mean=0.030, reward_bound=0.000, batch=156 
88: loss=1.361, reward_mean=0.010, reward_bound=0.000, batch=157 
89: loss=1.360, reward_mean=0.010, reward_bound=0.000, batch=158 
90: loss=1.360, reward_mean=0.010, reward_bound=0.000, batch=159 
91: loss=1.359, reward_mean=0.030, reward_bound=0.000, batch=162 
92: loss=1.359, reward_mean=0.000, reward_bound=0.000, batch=162 
93: loss=1.358, reward_mean=0.020, reward_bound=0.000, batch=164 
94: loss=1.357, reward_mean=0.010, reward_bound=0.000, batch=165 
95: loss=1.356, reward_mean=0.020, reward_bound=0.000, batch=167 
96: loss=1.355, reward_mean=0.030, reward_bound=0.000, batch=170 
97: loss=1.355, reward_mean=0.000, reward_bound=0.000, batch=170 
98: loss=1.354, reward_mean=0.030, reward_bound=0.000, batch=173 
99: loss=1.354, reward_mean=0.040, reward_bound=0.000, batch=177 
100: loss=1.353, reward_mean=0.020, reward_bound=0.000, batch=179 
101: loss=1.352, reward_mean=0.010, reward_bound=0.000, batch=180 
102: loss=1.351, reward_mean=0.030, reward_bound=0.000, batch=183 
103: loss=1.350, reward_mean=0.040, reward_bound=0.000, batch=187 
104: loss=1.349, reward_mean=0.020, reward_bound=0.000, batch=189 
105: loss=1.349, reward_mean=0.020, reward_bound=0.000, batch=191 
106: loss=1.348, reward_mean=0.020, reward_bound=0.000, batch=193 
107: loss=1.347, reward_mean=0.020, reward_bound=0.000, batch=195 
108: loss=1.346, reward_mean=0.000, reward_bound=0.000, batch=195 
109: loss=1.345, reward_mean=0.030, reward_bound=0.000, batch=198 
110: loss=1.345, reward_mean=0.000, reward_bound=0.000, batch=198 
111: loss=1.344, reward_mean=0.010, reward_bound=0.000, batch=199 
112: loss=1.343, reward_mean=0.040, reward_bound=0.000, batch=203 
113: loss=1.342, reward_mean=0.020, reward_bound=0.000, batch=205 
114: loss=1.341, reward_mean=0.030, reward_bound=0.000, batch=208 
115: loss=1.340, reward_mean=0.020, reward_bound=0.000, batch=210 
116: loss=1.340, reward_mean=0.010, reward_bound=0.000, batch=211 
117: loss=1.339, reward_mean=0.020, reward_bound=0.000, batch=213 
118: loss=1.338, reward_mean=0.040, reward_bound=0.000, batch=217 
119: loss=1.338, reward_mean=0.030, reward_bound=0.000, batch=220 
120: loss=1.337, reward_mean=0.010, reward_bound=0.000, batch=221 
121: loss=1.336, reward_mean=0.010, reward_bound=0.000, batch=222 
122: loss=1.336, reward_mean=0.030, reward_bound=0.004, batch=225 
123: loss=1.335, reward_mean=0.020, reward_bound=0.003, batch=227 
124: loss=1.334, reward_mean=0.030, reward_bound=0.016, batch=229 
125: loss=1.332, reward_mean=0.040, reward_bound=0.042, batch=228 
126: loss=1.331, reward_mean=0.050, reward_bound=0.066, batch=229 
127: loss=1.330, reward_mean=0.030, reward_bound=0.083, batch=230 
128: loss=1.329, reward_mean=0.020, reward_bound=0.089, batch=229 
129: loss=1.327, reward_mean=0.040, reward_bound=0.098, batch=226 
130: loss=1.326, reward_mean=0.010, reward_bound=0.000, batch=227 
131: loss=1.325, reward_mean=0.020, reward_bound=0.088, batch=229 
132: loss=1.325, reward_mean=0.000, reward_bound=0.000, batch=229 
133: loss=1.322, reward_mean=0.020, reward_bound=0.109, batch=223 
134: loss=1.322, reward_mean=0.000, reward_bound=0.000, batch=223 
135: loss=1.322, reward_mean=0.000, reward_bound=0.000, batch=223 
136: loss=1.321, reward_mean=0.020, reward_bound=0.000, batch=225 
137: loss=1.319, reward_mean=0.070, reward_bound=0.122, batch=226 
138: loss=1.316, reward_mean=0.050, reward_bound=0.135, batch=218 
139: loss=1.316, reward_mean=0.030, reward_bound=0.000, batch=221 
140: loss=1.313, reward_mean=0.060, reward_bound=0.150, batch=214 
141: loss=1.312, reward_mean=0.070, reward_bound=0.162, batch=220 
142: loss=1.310, reward_mean=0.050, reward_bound=0.150, batch=224 
143: loss=1.310, reward_mean=0.040, reward_bound=0.164, batch=227 
144: loss=1.308, reward_mean=0.040, reward_bound=0.167, batch=224 
145: loss=1.304, reward_mean=0.040, reward_bound=0.185, batch=215 
146: loss=1.304, reward_mean=0.050, reward_bound=0.007, batch=220 
147: loss=1.303, reward_mean=0.070, reward_bound=0.118, batch=224 
148: loss=1.301, reward_mean=0.060, reward_bound=0.204, batch=227 
149: loss=1.299, reward_mean=0.020, reward_bound=0.148, batch=229 
150: loss=1.299, reward_mean=0.020, reward_bound=0.174, batch=230 
151: loss=1.297, reward_mean=0.020, reward_bound=0.200, batch=231 
152: loss=1.298, reward_mean=0.030, reward_bound=0.206, batch=220 
153: loss=1.296, reward_mean=0.030, reward_bound=0.000, batch=223 
154: loss=1.295, reward_mean=0.030, reward_bound=0.073, batch=226 
155: loss=1.294, reward_mean=0.020, reward_bound=0.061, batch=228 
156: loss=1.293, reward_mean=0.020, reward_bound=0.077, batch=229 
157: loss=1.291, reward_mean=0.070, reward_bound=0.229, batch=209 
158: loss=1.291, reward_mean=0.010, reward_bound=0.000, batch=210 
159: loss=1.288, reward_mean=0.030, reward_bound=0.000, batch=213 
160: loss=1.289, reward_mean=0.090, reward_bound=0.171, batch=219 
161: loss=1.288, reward_mean=0.020, reward_bound=0.000, batch=221 
162: loss=1.288, reward_mean=0.020, reward_bound=0.000, batch=223 
163: loss=1.286, reward_mean=0.020, reward_bound=0.000, batch=225 
164: loss=1.286, reward_mean=0.030, reward_bound=0.054, batch=227 
165: loss=1.285, reward_mean=0.050, reward_bound=0.160, batch=229 
166: loss=1.285, reward_mean=0.020, reward_bound=0.167, batch=229 
167: loss=1.285, reward_mean=0.040, reward_bound=0.185, batch=229 
168: loss=1.286, reward_mean=0.060, reward_bound=0.215, batch=230 
169: loss=1.279, reward_mean=0.080, reward_bound=0.254, batch=208 
170: loss=1.277, reward_mean=0.020, reward_bound=0.000, batch=210 
171: loss=1.277, reward_mean=0.040, reward_bound=0.000, batch=214 
172: loss=1.277, reward_mean=0.000, reward_bound=0.000, batch=214 
173: loss=1.276, reward_mean=0.050, reward_bound=0.000, batch=219 
174: loss=1.273, reward_mean=0.050, reward_bound=0.120, batch=223 
175: loss=1.273, reward_mean=0.040, reward_bound=0.144, batch=226 
176: loss=1.275, reward_mean=0.040, reward_bound=0.158, batch=228 
177: loss=1.273, reward_mean=0.040, reward_bound=0.229, batch=228 
178: loss=1.271, reward_mean=0.050, reward_bound=0.282, batch=196 
179: loss=1.268, reward_mean=0.060, reward_bound=0.000, batch=202 
180: loss=1.266, reward_mean=0.100, reward_bound=0.058, batch=211 
181: loss=1.265, reward_mean=0.040, reward_bound=0.000, batch=215 
182: loss=1.264, reward_mean=0.030, reward_bound=0.000, batch=218 
183: loss=1.265, reward_mean=0.050, reward_bound=0.124, batch=222 
184: loss=1.264, reward_mean=0.010, reward_bound=0.000, batch=223 
185: loss=1.266, reward_mean=0.040, reward_bound=0.150, batch=224 
186: loss=1.264, reward_mean=0.040, reward_bound=0.097, batch=227 
187: loss=1.265, reward_mean=0.040, reward_bound=0.182, batch=229 
188: loss=1.264, reward_mean=0.050, reward_bound=0.206, batch=227 
189: loss=1.267, reward_mean=0.030, reward_bound=0.229, batch=224 
190: loss=1.266, reward_mean=0.040, reward_bound=0.245, batch=227 
191: loss=1.266, reward_mean=0.050, reward_bound=0.249, batch=229 
192: loss=1.262, reward_mean=0.070, reward_bound=0.282, batch=229 
193: loss=1.253, reward_mean=0.060, reward_bound=0.314, batch=183 
194: loss=1.251, reward_mean=0.020, reward_bound=0.000, batch=185 
195: loss=1.252, reward_mean=0.050, reward_bound=0.000, batch=190 
196: loss=1.250, reward_mean=0.030, reward_bound=0.000, batch=193 
197: loss=1.247, reward_mean=0.030, reward_bound=0.000, batch=196 
198: loss=1.247, reward_mean=0.020, reward_bound=0.000, batch=198 
199: loss=1.246, reward_mean=0.000, reward_bound=0.000, batch=198 
200: loss=1.244, reward_mean=0.040, reward_bound=0.000, batch=202 
201: loss=1.244, reward_mean=0.030, reward_bound=0.000, batch=205 
202: loss=1.242, reward_mean=0.030, reward_bound=0.000, batch=208 
203: loss=1.244, reward_mean=0.120, reward_bound=0.138, batch=215 
204: loss=1.243, reward_mean=0.010, reward_bound=0.000, batch=216 
205: loss=1.243, reward_mean=0.030, reward_bound=0.000, batch=219 
206: loss=1.243, reward_mean=0.040, reward_bound=0.039, batch=223 
207: loss=1.242, reward_mean=0.030, reward_bound=0.059, batch=226 
208: loss=1.241, reward_mean=0.080, reward_bound=0.185, batch=225 
209: loss=1.241, reward_mean=0.010, reward_bound=0.000, batch=226 
210: loss=1.240, reward_mean=0.050, reward_bound=0.206, batch=226 
211: loss=1.239, reward_mean=0.070, reward_bound=0.241, batch=228 
212: loss=1.238, reward_mean=0.020, reward_bound=0.176, batch=229 
213: loss=1.236, reward_mean=0.040, reward_bound=0.254, batch=222 
