



2020-05-07 05-13-14

0: loss=1.388, reward_mean=0.020, reward_bound=0.000, batch=2 
1: loss=1.387, reward_mean=0.000, reward_bound=0.000, batch=2 
2: loss=1.385, reward_mean=0.000, reward_bound=0.000, batch=2 
3: loss=1.387, reward_mean=0.020, reward_bound=0.000, batch=4 
4: loss=1.387, reward_mean=0.010, reward_bound=0.000, batch=5 
5: loss=1.385, reward_mean=0.000, reward_bound=0.000, batch=5 
6: loss=1.384, reward_mean=0.010, reward_bound=0.000, batch=6 
7: loss=1.385, reward_mean=0.040, reward_bound=0.000, batch=10 
8: loss=1.383, reward_mean=0.000, reward_bound=0.000, batch=10 
9: loss=1.381, reward_mean=0.020, reward_bound=0.000, batch=12 
10: loss=1.379, reward_mean=0.020, reward_bound=0.000, batch=14 
11: loss=1.376, reward_mean=0.020, reward_bound=0.000, batch=16 
12: loss=1.374, reward_mean=0.010, reward_bound=0.000, batch=17 
13: loss=1.372, reward_mean=0.020, reward_bound=0.000, batch=19 
14: loss=1.369, reward_mean=0.040, reward_bound=0.000, batch=23 
15: loss=1.366, reward_mean=0.000, reward_bound=0.000, batch=23 
16: loss=1.361, reward_mean=0.030, reward_bound=0.000, batch=26 
17: loss=1.357, reward_mean=0.030, reward_bound=0.000, batch=29 
18: loss=1.353, reward_mean=0.050, reward_bound=0.000, batch=34 
19: loss=1.348, reward_mean=0.060, reward_bound=0.000, batch=40 
20: loss=1.344, reward_mean=0.010, reward_bound=0.000, batch=41 
21: loss=1.340, reward_mean=0.040, reward_bound=0.000, batch=45 
22: loss=1.334, reward_mean=0.030, reward_bound=0.000, batch=48 
23: loss=1.328, reward_mean=0.040, reward_bound=0.000, batch=52 
24: loss=1.320, reward_mean=0.060, reward_bound=0.000, batch=58 
25: loss=1.314, reward_mean=0.060, reward_bound=0.000, batch=64 
26: loss=1.308, reward_mean=0.100, reward_bound=0.000, batch=74 
27: loss=1.300, reward_mean=0.050, reward_bound=0.000, batch=79 
28: loss=1.293, reward_mean=0.080, reward_bound=0.000, batch=87 
29: loss=1.283, reward_mean=0.090, reward_bound=0.000, batch=96 
30: loss=1.274, reward_mean=0.080, reward_bound=0.000, batch=104 
31: loss=1.262, reward_mean=0.140, reward_bound=0.000, batch=118 
32: loss=1.253, reward_mean=0.080, reward_bound=0.000, batch=126 
33: loss=1.240, reward_mean=0.120, reward_bound=0.000, batch=138 
34: loss=1.226, reward_mean=0.140, reward_bound=0.000, batch=152 
35: loss=1.213, reward_mean=0.110, reward_bound=0.000, batch=163 
36: loss=1.198, reward_mean=0.150, reward_bound=0.000, batch=178 
37: loss=1.183, reward_mean=0.100, reward_bound=0.000, batch=188 
38: loss=1.162, reward_mean=0.160, reward_bound=0.091, batch=201 
39: loss=1.149, reward_mean=0.080, reward_bound=0.000, batch=209 
40: loss=1.129, reward_mean=0.100, reward_bound=0.122, batch=214 
41: loss=1.087, reward_mean=0.180, reward_bound=0.185, batch=213 
42: loss=1.053, reward_mean=0.210, reward_bound=0.229, batch=213 
43: loss=1.029, reward_mean=0.160, reward_bound=0.254, batch=213 
44: loss=0.998, reward_mean=0.110, reward_bound=0.282, batch=205 
45: loss=0.972, reward_mean=0.130, reward_bound=0.314, batch=191 
46: loss=0.953, reward_mean=0.120, reward_bound=0.000, batch=203 
47: loss=0.936, reward_mean=0.090, reward_bound=0.169, batch=212 
48: loss=0.915, reward_mean=0.210, reward_bound=0.349, batch=189 
49: loss=0.895, reward_mean=0.220, reward_bound=0.314, batch=201 
50: loss=0.882, reward_mean=0.150, reward_bound=0.282, batch=210 
51: loss=0.875, reward_mean=0.150, reward_bound=0.349, batch=216 
52: loss=0.829, reward_mean=0.160, reward_bound=0.387, batch=160 
53: loss=0.803, reward_mean=0.190, reward_bound=0.000, batch=179 
54: loss=0.785, reward_mean=0.210, reward_bound=0.239, batch=195 
55: loss=0.782, reward_mean=0.150, reward_bound=0.282, batch=203 
56: loss=0.778, reward_mean=0.170, reward_bound=0.349, batch=208 
57: loss=0.774, reward_mean=0.160, reward_bound=0.387, batch=204 
58: loss=0.764, reward_mean=0.170, reward_bound=0.387, batch=212 
59: loss=0.726, reward_mean=0.250, reward_bound=0.430, batch=140 
60: loss=0.712, reward_mean=0.200, reward_bound=0.000, batch=160 
61: loss=0.695, reward_mean=0.220, reward_bound=0.198, batch=182 
62: loss=0.688, reward_mean=0.290, reward_bound=0.387, batch=189 
63: loss=0.676, reward_mean=0.230, reward_bound=0.430, batch=190 
64: loss=0.665, reward_mean=0.180, reward_bound=0.430, batch=198 
65: loss=0.655, reward_mean=0.220, reward_bound=0.478, batch=211 
66: loss=0.567, reward_mean=0.190, reward_bound=0.478, batch=104 
67: loss=0.561, reward_mean=0.230, reward_bound=0.000, batch=127 
68: loss=0.568, reward_mean=0.260, reward_bound=0.000, batch=153 
69: loss=0.558, reward_mean=0.140, reward_bound=0.000, batch=167 
70: loss=0.545, reward_mean=0.230, reward_bound=0.349, batch=185 
71: loss=0.532, reward_mean=0.220, reward_bound=0.387, batch=197 
72: loss=0.504, reward_mean=0.170, reward_bound=0.430, batch=191 
73: loss=0.471, reward_mean=0.320, reward_bound=0.478, batch=165 
74: loss=0.462, reward_mean=0.290, reward_bound=0.430, batch=183 
75: loss=0.442, reward_mean=0.300, reward_bound=0.478, batch=179 
76: loss=0.429, reward_mean=0.300, reward_bound=0.478, batch=198 
77: loss=0.420, reward_mean=0.220, reward_bound=0.478, batch=215 
78: loss=0.392, reward_mean=0.290, reward_bound=0.478, batch=203 
80: loss=0.467, reward_mean=0.300, reward_bound=0.000, batch=30 
81: loss=0.457, reward_mean=0.260, reward_bound=0.000, batch=56 
82: loss=0.461, reward_mean=0.420, reward_bound=0.000, batch=98 
83: loss=0.448, reward_mean=0.320, reward_bound=0.000, batch=130 
84: loss=0.426, reward_mean=0.330, reward_bound=0.387, batch=150 
85: loss=0.392, reward_mean=0.350, reward_bound=0.430, batch=153 
86: loss=0.389, reward_mean=0.290, reward_bound=0.430, batch=173 
87: loss=0.398, reward_mean=0.180, reward_bound=0.169, batch=191 
88: loss=0.388, reward_mean=0.210, reward_bound=0.387, batch=201 
89: loss=0.297, reward_mean=0.270, reward_bound=0.478, batch=107 
90: loss=0.317, reward_mean=0.280, reward_bound=0.000, batch=135 
91: loss=0.329, reward_mean=0.310, reward_bound=0.387, batch=158 
92: loss=0.298, reward_mean=0.310, reward_bound=0.430, batch=166 
93: loss=0.243, reward_mean=0.350, reward_bound=0.478, batch=145 
94: loss=0.234, reward_mean=0.480, reward_bound=0.478, batch=164 
96: loss=0.437, reward_mean=0.400, reward_bound=0.000, batch=40 
97: loss=0.402, reward_mean=0.380, reward_bound=0.000, batch=78 
98: loss=0.431, reward_mean=0.450, reward_bound=0.000, batch=123 
99: loss=0.393, reward_mean=0.350, reward_bound=0.387, batch=151 
100: loss=0.309, reward_mean=0.420, reward_bound=0.430, batch=160 
101: loss=0.200, reward_mean=0.320, reward_bound=0.478, batch=115 
102: loss=0.273, reward_mean=0.300, reward_bound=0.000, batch=145 
103: loss=0.304, reward_mean=0.220, reward_bound=0.000, batch=167 
104: loss=0.329, reward_mean=0.190, reward_bound=0.000, batch=186 
105: loss=0.304, reward_mean=0.240, reward_bound=0.387, batch=195 
106: loss=0.255, reward_mean=0.130, reward_bound=0.430, batch=183 
107: loss=0.271, reward_mean=0.120, reward_bound=0.000, batch=195 
108: loss=0.260, reward_mean=0.220, reward_bound=0.430, batch=202 
109: loss=0.188, reward_mean=0.180, reward_bound=0.478, batch=152 
110: loss=0.227, reward_mean=0.220, reward_bound=0.000, batch=174 
111: loss=0.229, reward_mean=0.220, reward_bound=0.387, batch=187 
112: loss=0.203, reward_mean=0.260, reward_bound=0.430, batch=192 
113: loss=0.156, reward_mean=0.300, reward_bound=0.478, batch=182 
115: loss=0.481, reward_mean=0.280, reward_bound=0.000, batch=28 
116: loss=0.490, reward_mean=0.350, reward_bound=0.000, batch=63 
117: loss=0.490, reward_mean=0.280, reward_bound=0.000, batch=91 
118: loss=0.466, reward_mean=0.150, reward_bound=0.000, batch=106 
119: loss=0.442, reward_mean=0.210, reward_bound=0.000, batch=127 
120: loss=0.435, reward_mean=0.110, reward_bound=0.000, batch=138 
121: loss=0.425, reward_mean=0.040, reward_bound=0.000, batch=142 
122: loss=0.434, reward_mean=0.070, reward_bound=0.000, batch=149 
123: loss=0.441, reward_mean=0.090, reward_bound=0.000, batch=158 
124: loss=0.445, reward_mean=0.070, reward_bound=0.000, batch=165 
125: loss=0.445, reward_mean=0.020, reward_bound=0.000, batch=167 
126: loss=0.448, reward_mean=0.050, reward_bound=0.000, batch=172 
127: loss=0.449, reward_mean=0.070, reward_bound=0.000, batch=179 
128: loss=0.446, reward_mean=0.030, reward_bound=0.000, batch=182 
129: loss=0.447, reward_mean=0.070, reward_bound=0.000, batch=189 
130: loss=0.444, reward_mean=0.120, reward_bound=0.000, batch=201 
131: loss=0.445, reward_mean=0.100, reward_bound=0.109, batch=210 
132: loss=0.441, reward_mean=0.140, reward_bound=0.247, batch=217 
133: loss=0.428, reward_mean=0.140, reward_bound=0.282, batch=218 
134: loss=0.421, reward_mean=0.140, reward_bound=0.314, batch=217 
135: loss=0.409, reward_mean=0.140, reward_bound=0.349, batch=212 
136: loss=0.386, reward_mean=0.220, reward_bound=0.387, batch=193 
137: loss=0.386, reward_mean=0.200, reward_bound=0.349, batch=202 
138: loss=0.330, reward_mean=0.290, reward_bound=0.430, batch=143 
139: loss=0.359, reward_mean=0.300, reward_bound=0.252, batch=170 
140: loss=0.366, reward_mean=0.260, reward_bound=0.314, batch=183 
141: loss=0.358, reward_mean=0.300, reward_bound=0.349, batch=192 
142: loss=0.350, reward_mean=0.280, reward_bound=0.387, batch=194 
143: loss=0.328, reward_mean=0.280, reward_bound=0.430, batch=181 
144: loss=0.325, reward_mean=0.400, reward_bound=0.430, batch=191 
145: loss=0.322, reward_mean=0.360, reward_bound=0.430, batch=203 
146: loss=0.230, reward_mean=0.410, reward_bound=0.478, batch=106 
147: loss=0.301, reward_mean=0.330, reward_bound=0.000, batch=139 
148: loss=0.333, reward_mean=0.300, reward_bound=0.295, batch=167 
149: loss=0.306, reward_mean=0.270, reward_bound=0.349, batch=176 
150: loss=0.286, reward_mean=0.260, reward_bound=0.387, batch=179 
151: loss=0.291, reward_mean=0.300, reward_bound=0.405, batch=195 
152: loss=0.247, reward_mean=0.400, reward_bound=0.430, batch=182 
153: loss=0.250, reward_mean=0.300, reward_bound=0.387, batch=192 
154: loss=0.245, reward_mean=0.280, reward_bound=0.430, batch=200 
155: loss=0.241, reward_mean=0.290, reward_bound=0.430, batch=208 
156: loss=0.242, reward_mean=0.370, reward_bound=0.478, batch=224 
157: loss=0.152, reward_mean=0.280, reward_bound=0.478, batch=151 
158: loss=0.162, reward_mean=0.330, reward_bound=0.430, batch=171 
159: loss=0.166, reward_mean=0.340, reward_bound=0.430, batch=186 
160: loss=0.168, reward_mean=0.350, reward_bound=0.454, batch=200 
161: loss=0.115, reward_mean=0.370, reward_bound=0.478, batch=184 
162: loss=0.131, reward_mean=0.300, reward_bound=0.430, batch=198 
163: loss=0.144, reward_mean=0.370, reward_bound=0.478, batch=219 
164: loss=0.165, reward_mean=0.370, reward_bound=0.478, batch=244 
165: loss=0.090, reward_mean=0.420, reward_bound=0.478, batch=225 
167: loss=0.465, reward_mean=0.290, reward_bound=0.000, batch=29 
168: loss=0.476, reward_mean=0.400, reward_bound=0.000, batch=69 
169: loss=0.518, reward_mean=0.310, reward_bound=0.000, batch=100 
170: loss=0.501, reward_mean=0.220, reward_bound=0.000, batch=122 
