



2020-05-07 01-25-55

0: loss=1.378, reward_mean=0.010, reward_bound=0.000, batch=1 
1: loss=1.375, reward_mean=0.010, reward_bound=0.000, batch=2 
2: loss=1.372, reward_mean=0.000, reward_bound=0.000, batch=2 
3: loss=1.373, reward_mean=0.030, reward_bound=0.000, batch=5 
4: loss=1.371, reward_mean=0.020, reward_bound=0.000, batch=7 
5: loss=1.369, reward_mean=0.000, reward_bound=0.000, batch=7 
6: loss=1.377, reward_mean=0.040, reward_bound=0.000, batch=11 
7: loss=1.375, reward_mean=0.020, reward_bound=0.000, batch=13 
8: loss=1.375, reward_mean=0.010, reward_bound=0.000, batch=14 
9: loss=1.374, reward_mean=0.000, reward_bound=0.000, batch=14 
10: loss=1.373, reward_mean=0.000, reward_bound=0.000, batch=14 
11: loss=1.373, reward_mean=0.010, reward_bound=0.000, batch=15 
12: loss=1.374, reward_mean=0.010, reward_bound=0.000, batch=16 
13: loss=1.372, reward_mean=0.040, reward_bound=0.000, batch=20 
14: loss=1.372, reward_mean=0.000, reward_bound=0.000, batch=20 
15: loss=1.372, reward_mean=0.010, reward_bound=0.000, batch=21 
16: loss=1.375, reward_mean=0.020, reward_bound=0.000, batch=23 
17: loss=1.373, reward_mean=0.020, reward_bound=0.000, batch=25 
18: loss=1.372, reward_mean=0.000, reward_bound=0.000, batch=25 
19: loss=1.371, reward_mean=0.020, reward_bound=0.000, batch=27 
20: loss=1.369, reward_mean=0.010, reward_bound=0.000, batch=28 
21: loss=1.369, reward_mean=0.000, reward_bound=0.000, batch=28 
22: loss=1.367, reward_mean=0.010, reward_bound=0.000, batch=29 
23: loss=1.370, reward_mean=0.020, reward_bound=0.000, batch=31 
24: loss=1.368, reward_mean=0.020, reward_bound=0.000, batch=33 
25: loss=1.367, reward_mean=0.030, reward_bound=0.000, batch=36 
26: loss=1.367, reward_mean=0.040, reward_bound=0.000, batch=40 
27: loss=1.367, reward_mean=0.000, reward_bound=0.000, batch=40 
28: loss=1.366, reward_mean=0.000, reward_bound=0.000, batch=40 
29: loss=1.365, reward_mean=0.010, reward_bound=0.000, batch=41 
30: loss=1.365, reward_mean=0.020, reward_bound=0.000, batch=43 
31: loss=1.365, reward_mean=0.010, reward_bound=0.000, batch=44 
32: loss=1.364, reward_mean=0.020, reward_bound=0.000, batch=46 
33: loss=1.362, reward_mean=0.010, reward_bound=0.000, batch=47 
34: loss=1.361, reward_mean=0.010, reward_bound=0.000, batch=48 
35: loss=1.359, reward_mean=0.030, reward_bound=0.000, batch=51 
36: loss=1.357, reward_mean=0.030, reward_bound=0.000, batch=54 
37: loss=1.356, reward_mean=0.020, reward_bound=0.000, batch=56 
38: loss=1.356, reward_mean=0.010, reward_bound=0.000, batch=57 
39: loss=1.355, reward_mean=0.000, reward_bound=0.000, batch=57 
40: loss=1.354, reward_mean=0.010, reward_bound=0.000, batch=58 
41: loss=1.353, reward_mean=0.030, reward_bound=0.000, batch=61 
42: loss=1.352, reward_mean=0.020, reward_bound=0.000, batch=63 
43: loss=1.350, reward_mean=0.020, reward_bound=0.000, batch=65 
44: loss=1.350, reward_mean=0.020, reward_bound=0.000, batch=67 
45: loss=1.349, reward_mean=0.030, reward_bound=0.000, batch=70 
46: loss=1.348, reward_mean=0.010, reward_bound=0.000, batch=71 
47: loss=1.348, reward_mean=0.000, reward_bound=0.000, batch=71 
48: loss=1.346, reward_mean=0.020, reward_bound=0.000, batch=73 
49: loss=1.346, reward_mean=0.020, reward_bound=0.000, batch=75 
50: loss=1.345, reward_mean=0.010, reward_bound=0.000, batch=76 
51: loss=1.343, reward_mean=0.010, reward_bound=0.000, batch=77 
52: loss=1.344, reward_mean=0.020, reward_bound=0.000, batch=79 
53: loss=1.342, reward_mean=0.040, reward_bound=0.000, batch=83 
54: loss=1.342, reward_mean=0.030, reward_bound=0.000, batch=86 
55: loss=1.344, reward_mean=0.030, reward_bound=0.000, batch=89 
56: loss=1.343, reward_mean=0.000, reward_bound=0.000, batch=89 
57: loss=1.343, reward_mean=0.030, reward_bound=0.000, batch=92 
58: loss=1.343, reward_mean=0.050, reward_bound=0.000, batch=97 
59: loss=1.343, reward_mean=0.020, reward_bound=0.000, batch=99 
60: loss=1.343, reward_mean=0.000, reward_bound=0.000, batch=99 
61: loss=1.341, reward_mean=0.030, reward_bound=0.000, batch=102 
62: loss=1.341, reward_mean=0.000, reward_bound=0.000, batch=102 
63: loss=1.339, reward_mean=0.020, reward_bound=0.000, batch=104 
64: loss=1.338, reward_mean=0.030, reward_bound=0.000, batch=107 
65: loss=1.338, reward_mean=0.040, reward_bound=0.000, batch=111 
66: loss=1.337, reward_mean=0.020, reward_bound=0.000, batch=113 
67: loss=1.336, reward_mean=0.010, reward_bound=0.000, batch=114 
68: loss=1.334, reward_mean=0.030, reward_bound=0.000, batch=117 
69: loss=1.333, reward_mean=0.000, reward_bound=0.000, batch=117 
70: loss=1.331, reward_mean=0.040, reward_bound=0.000, batch=121 
71: loss=1.330, reward_mean=0.010, reward_bound=0.000, batch=122 
72: loss=1.329, reward_mean=0.000, reward_bound=0.000, batch=122 
73: loss=1.329, reward_mean=0.020, reward_bound=0.000, batch=124 
74: loss=1.326, reward_mean=0.050, reward_bound=0.000, batch=129 
75: loss=1.326, reward_mean=0.030, reward_bound=0.000, batch=132 
76: loss=1.326, reward_mean=0.000, reward_bound=0.000, batch=132 
77: loss=1.323, reward_mean=0.060, reward_bound=0.000, batch=138 
78: loss=1.323, reward_mean=0.020, reward_bound=0.000, batch=140 
79: loss=1.322, reward_mean=0.020, reward_bound=0.000, batch=142 
80: loss=1.321, reward_mean=0.060, reward_bound=0.000, batch=148 
81: loss=1.320, reward_mean=0.020, reward_bound=0.000, batch=150 
82: loss=1.320, reward_mean=0.040, reward_bound=0.000, batch=154 
83: loss=1.320, reward_mean=0.040, reward_bound=0.000, batch=158 
84: loss=1.319, reward_mean=0.010, reward_bound=0.000, batch=159 
85: loss=1.318, reward_mean=0.010, reward_bound=0.000, batch=160 
86: loss=1.319, reward_mean=0.030, reward_bound=0.000, batch=163 
87: loss=1.319, reward_mean=0.030, reward_bound=0.000, batch=166 
88: loss=1.318, reward_mean=0.010, reward_bound=0.000, batch=167 
89: loss=1.317, reward_mean=0.040, reward_bound=0.000, batch=171 
90: loss=1.317, reward_mean=0.010, reward_bound=0.000, batch=172 
91: loss=1.316, reward_mean=0.040, reward_bound=0.000, batch=176 
92: loss=1.317, reward_mean=0.020, reward_bound=0.000, batch=178 
93: loss=1.317, reward_mean=0.040, reward_bound=0.000, batch=182 
94: loss=1.316, reward_mean=0.010, reward_bound=0.000, batch=183 
95: loss=1.316, reward_mean=0.040, reward_bound=0.000, batch=187 
96: loss=1.314, reward_mean=0.020, reward_bound=0.000, batch=189 
97: loss=1.314, reward_mean=0.000, reward_bound=0.000, batch=189 
98: loss=1.313, reward_mean=0.030, reward_bound=0.000, batch=192 
99: loss=1.312, reward_mean=0.020, reward_bound=0.000, batch=194 
100: loss=1.311, reward_mean=0.060, reward_bound=0.000, batch=200 
101: loss=1.310, reward_mean=0.030, reward_bound=0.000, batch=203 
102: loss=1.309, reward_mean=0.010, reward_bound=0.000, batch=204 
103: loss=1.308, reward_mean=0.030, reward_bound=0.000, batch=207 
104: loss=1.307, reward_mean=0.020, reward_bound=0.000, batch=209 
105: loss=1.306, reward_mean=0.020, reward_bound=0.000, batch=211 
106: loss=1.305, reward_mean=0.020, reward_bound=0.000, batch=213 
107: loss=1.305, reward_mean=0.010, reward_bound=0.000, batch=214 
108: loss=1.304, reward_mean=0.040, reward_bound=0.000, batch=218 
109: loss=1.304, reward_mean=0.020, reward_bound=0.000, batch=220 
110: loss=1.303, reward_mean=0.020, reward_bound=0.000, batch=222 
111: loss=1.301, reward_mean=0.010, reward_bound=0.000, batch=223 
112: loss=1.301, reward_mean=0.030, reward_bound=0.008, batch=226 
113: loss=1.300, reward_mean=0.010, reward_bound=0.000, batch=227 
114: loss=1.298, reward_mean=0.030, reward_bound=0.021, batch=229 
115: loss=1.295, reward_mean=0.030, reward_bound=0.065, batch=229 
116: loss=1.293, reward_mean=0.040, reward_bound=0.072, batch=227 
117: loss=1.293, reward_mean=0.030, reward_bound=0.087, batch=229 
118: loss=1.293, reward_mean=0.020, reward_bound=0.089, batch=228 
119: loss=1.287, reward_mean=0.060, reward_bound=0.109, batch=226 
120: loss=1.286, reward_mean=0.020, reward_bound=0.061, batch=228 
121: loss=1.284, reward_mean=0.040, reward_bound=0.122, batch=228 
122: loss=1.281, reward_mean=0.060, reward_bound=0.135, batch=228 
123: loss=1.279, reward_mean=0.040, reward_bound=0.150, batch=226 
124: loss=1.279, reward_mean=0.020, reward_bound=0.083, batch=228 
125: loss=1.279, reward_mean=0.010, reward_bound=0.017, batch=229 
126: loss=1.278, reward_mean=0.010, reward_bound=0.067, batch=230 
127: loss=1.278, reward_mean=0.030, reward_bound=0.167, batch=221 
128: loss=1.277, reward_mean=0.040, reward_bound=0.089, batch=224 
129: loss=1.277, reward_mean=0.050, reward_bound=0.185, batch=220 
130: loss=1.276, reward_mean=0.020, reward_bound=0.000, batch=222 
131: loss=1.276, reward_mean=0.020, reward_bound=0.000, batch=224 
132: loss=1.275, reward_mean=0.020, reward_bound=0.000, batch=226 
133: loss=1.273, reward_mean=0.040, reward_bound=0.058, batch=227 
134: loss=1.272, reward_mean=0.020, reward_bound=0.120, batch=229 
135: loss=1.272, reward_mean=0.050, reward_bound=0.174, batch=230 
136: loss=1.271, reward_mean=0.050, reward_bound=0.206, batch=232 
137: loss=1.269, reward_mean=0.030, reward_bound=0.206, batch=234 
138: loss=1.263, reward_mean=0.050, reward_bound=0.206, batch=227 
139: loss=1.257, reward_mean=0.040, reward_bound=0.229, batch=206 
140: loss=1.258, reward_mean=0.010, reward_bound=0.000, batch=207 
141: loss=1.258, reward_mean=0.020, reward_bound=0.000, batch=209 
142: loss=1.256, reward_mean=0.030, reward_bound=0.000, batch=212 
143: loss=1.254, reward_mean=0.030, reward_bound=0.000, batch=215 
144: loss=1.253, reward_mean=0.020, reward_bound=0.000, batch=217 
145: loss=1.251, reward_mean=0.030, reward_bound=0.000, batch=220 
146: loss=1.251, reward_mean=0.030, reward_bound=0.000, batch=223 
147: loss=1.249, reward_mean=0.040, reward_bound=0.091, batch=226 
148: loss=1.248, reward_mean=0.060, reward_bound=0.128, batch=228 
149: loss=1.247, reward_mean=0.050, reward_bound=0.156, batch=229 
150: loss=1.248, reward_mean=0.010, reward_bound=0.005, batch=230 
151: loss=1.246, reward_mean=0.030, reward_bound=0.206, batch=232 
152: loss=1.246, reward_mean=0.010, reward_bound=0.206, batch=233 
153: loss=1.243, reward_mean=0.050, reward_bound=0.229, batch=232 
154: loss=1.232, reward_mean=0.040, reward_bound=0.254, batch=197 
155: loss=1.231, reward_mean=0.000, reward_bound=0.000, batch=197 
156: loss=1.230, reward_mean=0.050, reward_bound=0.000, batch=202 
157: loss=1.230, reward_mean=0.050, reward_bound=0.000, batch=207 
158: loss=1.229, reward_mean=0.020, reward_bound=0.000, batch=209 
159: loss=1.228, reward_mean=0.070, reward_bound=0.021, batch=216 
160: loss=1.228, reward_mean=0.020, reward_bound=0.000, batch=218 
161: loss=1.229, reward_mean=0.030, reward_bound=0.000, batch=221 
162: loss=1.228, reward_mean=0.040, reward_bound=0.047, batch=224 
163: loss=1.226, reward_mean=0.040, reward_bound=0.063, batch=227 
164: loss=1.219, reward_mean=0.120, reward_bound=0.202, batch=229 
165: loss=1.219, reward_mean=0.050, reward_bound=0.229, batch=229 
166: loss=1.217, reward_mean=0.050, reward_bound=0.254, batch=226 
167: loss=1.215, reward_mean=0.040, reward_bound=0.256, batch=228 
168: loss=1.208, reward_mean=0.040, reward_bound=0.282, batch=201 
169: loss=1.208, reward_mean=0.030, reward_bound=0.000, batch=204 
170: loss=1.207, reward_mean=0.020, reward_bound=0.000, batch=206 
171: loss=1.207, reward_mean=0.020, reward_bound=0.000, batch=208 
172: loss=1.206, reward_mean=0.040, reward_bound=0.000, batch=212 
173: loss=1.206, reward_mean=0.020, reward_bound=0.000, batch=214 
