



2020-05-07 04-53-16

0: loss=1.394, reward_mean=0.040, reward_bound=0.000, batch=4 
1: loss=1.388, reward_mean=0.020, reward_bound=0.000, batch=6 
2: loss=1.382, reward_mean=0.020, reward_bound=0.000, batch=8 
3: loss=1.375, reward_mean=0.010, reward_bound=0.000, batch=9 
4: loss=1.369, reward_mean=0.040, reward_bound=0.000, batch=13 
5: loss=1.364, reward_mean=0.020, reward_bound=0.000, batch=15 
6: loss=1.358, reward_mean=0.000, reward_bound=0.000, batch=15 
7: loss=1.352, reward_mean=0.010, reward_bound=0.000, batch=16 
8: loss=1.346, reward_mean=0.000, reward_bound=0.000, batch=16 
9: loss=1.340, reward_mean=0.020, reward_bound=0.000, batch=18 
10: loss=1.337, reward_mean=0.040, reward_bound=0.000, batch=22 
11: loss=1.340, reward_mean=0.030, reward_bound=0.000, batch=25 
12: loss=1.334, reward_mean=0.030, reward_bound=0.000, batch=28 
13: loss=1.330, reward_mean=0.030, reward_bound=0.000, batch=31 
14: loss=1.327, reward_mean=0.030, reward_bound=0.000, batch=34 
15: loss=1.325, reward_mean=0.010, reward_bound=0.000, batch=35 
16: loss=1.321, reward_mean=0.010, reward_bound=0.000, batch=36 
17: loss=1.320, reward_mean=0.040, reward_bound=0.000, batch=40 
18: loss=1.316, reward_mean=0.040, reward_bound=0.000, batch=44 
19: loss=1.311, reward_mean=0.060, reward_bound=0.000, batch=50 
20: loss=1.307, reward_mean=0.050, reward_bound=0.000, batch=55 
21: loss=1.302, reward_mean=0.030, reward_bound=0.000, batch=58 
22: loss=1.294, reward_mean=0.060, reward_bound=0.000, batch=64 
23: loss=1.288, reward_mean=0.040, reward_bound=0.000, batch=68 
24: loss=1.285, reward_mean=0.050, reward_bound=0.000, batch=73 
25: loss=1.280, reward_mean=0.030, reward_bound=0.000, batch=76 
26: loss=1.276, reward_mean=0.040, reward_bound=0.000, batch=80 
27: loss=1.271, reward_mean=0.060, reward_bound=0.000, batch=86 
28: loss=1.264, reward_mean=0.060, reward_bound=0.000, batch=92 
29: loss=1.260, reward_mean=0.040, reward_bound=0.000, batch=96 
30: loss=1.253, reward_mean=0.080, reward_bound=0.000, batch=104 
31: loss=1.245, reward_mean=0.060, reward_bound=0.000, batch=110 
32: loss=1.245, reward_mean=0.110, reward_bound=0.000, batch=121 
33: loss=1.245, reward_mean=0.100, reward_bound=0.000, batch=131 
34: loss=1.240, reward_mean=0.090, reward_bound=0.000, batch=140 
35: loss=1.235, reward_mean=0.060, reward_bound=0.000, batch=146 
36: loss=1.229, reward_mean=0.140, reward_bound=0.000, batch=160 
37: loss=1.225, reward_mean=0.070, reward_bound=0.000, batch=167 
38: loss=1.218, reward_mean=0.150, reward_bound=0.000, batch=182 
39: loss=1.213, reward_mean=0.100, reward_bound=0.000, batch=192 
40: loss=1.209, reward_mean=0.060, reward_bound=0.000, batch=198 
41: loss=1.203, reward_mean=0.100, reward_bound=0.003, batch=208 
42: loss=1.184, reward_mean=0.150, reward_bound=0.122, batch=214 
43: loss=1.174, reward_mean=0.090, reward_bound=0.149, batch=220 
44: loss=1.159, reward_mean=0.100, reward_bound=0.150, batch=221 
45: loss=1.151, reward_mean=0.050, reward_bound=0.167, batch=221 
46: loss=1.142, reward_mean=0.100, reward_bound=0.185, batch=220 
47: loss=1.123, reward_mean=0.200, reward_bound=0.222, batch=224 
48: loss=1.101, reward_mean=0.150, reward_bound=0.229, batch=222 
49: loss=1.076, reward_mean=0.100, reward_bound=0.254, batch=212 
50: loss=1.057, reward_mean=0.150, reward_bound=0.282, batch=207 
51: loss=1.022, reward_mean=0.140, reward_bound=0.314, batch=184 
52: loss=1.021, reward_mean=0.170, reward_bound=0.164, batch=199 
53: loss=1.007, reward_mean=0.180, reward_bound=0.282, batch=208 
54: loss=0.997, reward_mean=0.170, reward_bound=0.317, batch=215 
55: loss=0.958, reward_mean=0.220, reward_bound=0.349, batch=192 
56: loss=0.953, reward_mean=0.140, reward_bound=0.302, batch=204 
57: loss=0.943, reward_mean=0.190, reward_bound=0.349, batch=211 
58: loss=0.894, reward_mean=0.190, reward_bound=0.387, batch=168 
59: loss=0.893, reward_mean=0.220, reward_bound=0.229, batch=186 
60: loss=0.884, reward_mean=0.270, reward_bound=0.314, batch=198 
61: loss=0.861, reward_mean=0.250, reward_bound=0.387, batch=203 
62: loss=0.786, reward_mean=0.320, reward_bound=0.430, batch=140 
63: loss=0.820, reward_mean=0.270, reward_bound=0.000, batch=167 
64: loss=0.814, reward_mean=0.300, reward_bound=0.229, batch=185 
65: loss=0.795, reward_mean=0.200, reward_bound=0.282, batch=198 
66: loss=0.763, reward_mean=0.250, reward_bound=0.349, batch=203 
67: loss=0.745, reward_mean=0.330, reward_bound=0.413, batch=212 
68: loss=0.712, reward_mean=0.350, reward_bound=0.430, batch=199 
69: loss=0.698, reward_mean=0.290, reward_bound=0.478, batch=211 
70: loss=0.594, reward_mean=0.370, reward_bound=0.478, batch=125 
71: loss=0.625, reward_mean=0.300, reward_bound=0.000, batch=155 
72: loss=0.625, reward_mean=0.370, reward_bound=0.349, batch=177 
73: loss=0.581, reward_mean=0.540, reward_bound=0.430, batch=181 
74: loss=0.575, reward_mean=0.370, reward_bound=0.430, batch=196 
75: loss=0.530, reward_mean=0.430, reward_bound=0.478, batch=184 
76: loss=0.523, reward_mean=0.230, reward_bound=0.430, batch=193 
77: loss=0.505, reward_mean=0.420, reward_bound=0.478, batch=204 
79: loss=0.820, reward_mean=0.420, reward_bound=0.000, batch=42 
80: loss=0.767, reward_mean=0.450, reward_bound=0.000, batch=87 
81: loss=0.728, reward_mean=0.480, reward_bound=0.277, batch=131 
82: loss=0.634, reward_mean=0.490, reward_bound=0.387, batch=145 
83: loss=0.560, reward_mean=0.470, reward_bound=0.430, batch=132 
84: loss=0.553, reward_mean=0.480, reward_bound=0.430, batch=161 
85: loss=0.443, reward_mean=0.440, reward_bound=0.478, batch=116 
86: loss=0.449, reward_mean=0.510, reward_bound=0.430, batch=147 
87: loss=0.433, reward_mean=0.560, reward_bound=0.478, batch=166 
89: loss=0.722, reward_mean=0.530, reward_bound=0.000, batch=53 
90: loss=0.654, reward_mean=0.580, reward_bound=0.335, batch=107 
91: loss=0.559, reward_mean=0.560, reward_bound=0.387, batch=136 
92: loss=0.489, reward_mean=0.510, reward_bound=0.430, batch=145 
93: loss=0.382, reward_mean=0.560, reward_bound=0.478, batch=117 
94: loss=0.377, reward_mean=0.690, reward_bound=0.478, batch=151 
96: loss=0.589, reward_mean=0.520, reward_bound=0.000, batch=52 
97: loss=0.567, reward_mean=0.570, reward_bound=0.349, batch=105 
98: loss=0.459, reward_mean=0.620, reward_bound=0.430, batch=119 
