



2020-05-07 05-10-40

0: loss=1.375, reward_mean=0.040, reward_bound=0.000, batch=4 
1: loss=1.382, reward_mean=0.030, reward_bound=0.000, batch=7 
2: loss=1.383, reward_mean=0.050, reward_bound=0.000, batch=12 
3: loss=1.382, reward_mean=0.000, reward_bound=0.000, batch=12 
4: loss=1.379, reward_mean=0.020, reward_bound=0.000, batch=14 
5: loss=1.378, reward_mean=0.000, reward_bound=0.000, batch=14 
6: loss=1.375, reward_mean=0.040, reward_bound=0.000, batch=18 
7: loss=1.373, reward_mean=0.000, reward_bound=0.000, batch=18 
8: loss=1.371, reward_mean=0.010, reward_bound=0.000, batch=19 
9: loss=1.369, reward_mean=0.020, reward_bound=0.000, batch=21 
10: loss=1.367, reward_mean=0.030, reward_bound=0.000, batch=24 
11: loss=1.365, reward_mean=0.030, reward_bound=0.000, batch=27 
12: loss=1.363, reward_mean=0.000, reward_bound=0.000, batch=27 
13: loss=1.361, reward_mean=0.010, reward_bound=0.000, batch=28 
14: loss=1.360, reward_mean=0.050, reward_bound=0.000, batch=33 
15: loss=1.358, reward_mean=0.030, reward_bound=0.000, batch=36 
16: loss=1.356, reward_mean=0.020, reward_bound=0.000, batch=38 
17: loss=1.353, reward_mean=0.050, reward_bound=0.000, batch=43 
18: loss=1.351, reward_mean=0.010, reward_bound=0.000, batch=44 
19: loss=1.347, reward_mean=0.030, reward_bound=0.000, batch=47 
20: loss=1.344, reward_mean=0.010, reward_bound=0.000, batch=48 
21: loss=1.342, reward_mean=0.010, reward_bound=0.000, batch=49 
22: loss=1.341, reward_mean=0.020, reward_bound=0.000, batch=51 
23: loss=1.338, reward_mean=0.040, reward_bound=0.000, batch=55 
24: loss=1.335, reward_mean=0.040, reward_bound=0.000, batch=59 
25: loss=1.333, reward_mean=0.000, reward_bound=0.000, batch=59 
26: loss=1.331, reward_mean=0.010, reward_bound=0.000, batch=60 
27: loss=1.328, reward_mean=0.040, reward_bound=0.000, batch=64 
28: loss=1.324, reward_mean=0.070, reward_bound=0.000, batch=71 
29: loss=1.320, reward_mean=0.040, reward_bound=0.000, batch=75 
30: loss=1.318, reward_mean=0.020, reward_bound=0.000, batch=77 
31: loss=1.315, reward_mean=0.070, reward_bound=0.000, batch=84 
32: loss=1.311, reward_mean=0.060, reward_bound=0.000, batch=90 
33: loss=1.309, reward_mean=0.020, reward_bound=0.000, batch=92 
34: loss=1.305, reward_mean=0.040, reward_bound=0.000, batch=96 
35: loss=1.302, reward_mean=0.050, reward_bound=0.000, batch=101 
36: loss=1.299, reward_mean=0.070, reward_bound=0.000, batch=108 
37: loss=1.296, reward_mean=0.050, reward_bound=0.000, batch=113 
38: loss=1.294, reward_mean=0.070, reward_bound=0.000, batch=120 
39: loss=1.290, reward_mean=0.130, reward_bound=0.000, batch=133 
40: loss=1.285, reward_mean=0.070, reward_bound=0.000, batch=140 
41: loss=1.282, reward_mean=0.080, reward_bound=0.000, batch=148 
42: loss=1.279, reward_mean=0.090, reward_bound=0.000, batch=157 
43: loss=1.276, reward_mean=0.060, reward_bound=0.000, batch=163 
44: loss=1.270, reward_mean=0.090, reward_bound=0.000, batch=172 
45: loss=1.266, reward_mean=0.090, reward_bound=0.000, batch=181 
46: loss=1.262, reward_mean=0.080, reward_bound=0.000, batch=189 
47: loss=1.257, reward_mean=0.070, reward_bound=0.000, batch=196 
48: loss=1.253, reward_mean=0.090, reward_bound=0.000, batch=205 
49: loss=1.245, reward_mean=0.100, reward_bound=0.073, batch=213 
50: loss=1.234, reward_mean=0.090, reward_bound=0.122, batch=213 
51: loss=1.223, reward_mean=0.100, reward_bound=0.135, batch=216 
52: loss=1.211, reward_mean=0.100, reward_bound=0.150, batch=220 
53: loss=1.200, reward_mean=0.060, reward_bound=0.167, batch=216 
54: loss=1.189, reward_mean=0.150, reward_bound=0.196, batch=221 
55: loss=1.174, reward_mean=0.100, reward_bound=0.206, batch=216 
56: loss=1.158, reward_mean=0.120, reward_bound=0.229, batch=212 
57: loss=1.141, reward_mean=0.130, reward_bound=0.254, batch=206 
58: loss=1.120, reward_mean=0.220, reward_bound=0.282, batch=205 
59: loss=1.094, reward_mean=0.140, reward_bound=0.314, batch=187 
60: loss=1.067, reward_mean=0.200, reward_bound=0.349, batch=168 
61: loss=1.056, reward_mean=0.130, reward_bound=0.000, batch=181 
62: loss=1.048, reward_mean=0.170, reward_bound=0.282, batch=196 
63: loss=1.038, reward_mean=0.170, reward_bound=0.331, batch=207 
64: loss=1.026, reward_mean=0.140, reward_bound=0.349, batch=211 
65: loss=0.979, reward_mean=0.190, reward_bound=0.387, batch=158 
66: loss=0.976, reward_mean=0.170, reward_bound=0.000, batch=175 
67: loss=0.972, reward_mean=0.180, reward_bound=0.133, batch=192 
68: loss=0.963, reward_mean=0.230, reward_bound=0.292, batch=204 
69: loss=0.945, reward_mean=0.200, reward_bound=0.349, batch=205 
70: loss=0.928, reward_mean=0.230, reward_bound=0.387, batch=202 
71: loss=0.917, reward_mean=0.220, reward_bound=0.387, batch=210 
72: loss=0.851, reward_mean=0.240, reward_bound=0.430, batch=121 
73: loss=0.867, reward_mean=0.220, reward_bound=0.000, batch=143 
74: loss=0.862, reward_mean=0.190, reward_bound=0.000, batch=162 
75: loss=0.860, reward_mean=0.160, reward_bound=0.000, batch=178 
76: loss=0.858, reward_mean=0.170, reward_bound=0.187, batch=194 
77: loss=0.824, reward_mean=0.270, reward_bound=0.345, batch=206 
78: loss=0.793, reward_mean=0.360, reward_bound=0.387, batch=202 
79: loss=0.761, reward_mean=0.350, reward_bound=0.430, batch=195 
80: loss=0.752, reward_mean=0.220, reward_bound=0.387, batch=205 
81: loss=0.661, reward_mean=0.320, reward_bound=0.478, batch=105 
82: loss=0.687, reward_mean=0.310, reward_bound=0.000, batch=136 
83: loss=0.704, reward_mean=0.270, reward_bound=0.000, batch=163 
84: loss=0.682, reward_mean=0.340, reward_bound=0.349, batch=183 
85: loss=0.668, reward_mean=0.320, reward_bound=0.387, batch=197 
86: loss=0.632, reward_mean=0.310, reward_bound=0.430, batch=193 
87: loss=0.591, reward_mean=0.290, reward_bound=0.478, batch=158 
88: loss=0.586, reward_mean=0.390, reward_bound=0.478, batch=183 
89: loss=0.567, reward_mean=0.360, reward_bound=0.478, batch=186 
90: loss=0.557, reward_mean=0.310, reward_bound=0.478, batch=196 
91: loss=0.545, reward_mean=0.320, reward_bound=0.505, batch=207 
93: loss=0.685, reward_mean=0.330, reward_bound=0.000, batch=33 
94: loss=0.674, reward_mean=0.360, reward_bound=0.000, batch=69 
95: loss=0.671, reward_mean=0.330, reward_bound=0.000, batch=102 
96: loss=0.662, reward_mean=0.410, reward_bound=0.254, batch=141 
97: loss=0.622, reward_mean=0.350, reward_bound=0.349, batch=161 
98: loss=0.551, reward_mean=0.430, reward_bound=0.430, batch=150 
99: loss=0.544, reward_mean=0.330, reward_bound=0.430, batch=172 
100: loss=0.479, reward_mean=0.350, reward_bound=0.478, batch=125 
101: loss=0.497, reward_mean=0.350, reward_bound=0.387, batch=156 
102: loss=0.483, reward_mean=0.350, reward_bound=0.430, batch=173 
103: loss=0.454, reward_mean=0.410, reward_bound=0.478, batch=162 
105: loss=0.570, reward_mean=0.420, reward_bound=0.000, batch=42 
106: loss=0.594, reward_mean=0.470, reward_bound=0.000, batch=89 
107: loss=0.576, reward_mean=0.440, reward_bound=0.314, batch=131 
108: loss=0.542, reward_mean=0.400, reward_bound=0.387, batch=158 
109: loss=0.491, reward_mean=0.490, reward_bound=0.430, batch=157 
110: loss=0.422, reward_mean=0.380, reward_bound=0.478, batch=107 
111: loss=0.435, reward_mean=0.450, reward_bound=0.430, batch=138 
112: loss=0.437, reward_mean=0.360, reward_bound=0.435, batch=166 
113: loss=0.404, reward_mean=0.440, reward_bound=0.478, batch=156 
114: loss=0.397, reward_mean=0.460, reward_bound=0.478, batch=174 
115: loss=0.390, reward_mean=0.400, reward_bound=0.478, batch=190 
117: loss=0.516, reward_mean=0.430, reward_bound=0.000, batch=43 
118: loss=0.526, reward_mean=0.530, reward_bound=0.000, batch=96 
119: loss=0.476, reward_mean=0.490, reward_bound=0.387, batch=132 
120: loss=0.441, reward_mean=0.450, reward_bound=0.430, batch=151 
121: loss=0.360, reward_mean=0.600, reward_bound=0.478, batch=114 
122: loss=0.355, reward_mean=0.470, reward_bound=0.478, batch=140 
123: loss=0.351, reward_mean=0.500, reward_bound=0.478, batch=161 
124: loss=0.348, reward_mean=0.480, reward_bound=0.478, batch=181 
126: loss=0.486, reward_mean=0.520, reward_bound=0.000, batch=52 
127: loss=0.500, reward_mean=0.480, reward_bound=0.000, batch=100 
128: loss=0.418, reward_mean=0.550, reward_bound=0.430, batch=124 
129: loss=0.328, reward_mean=0.430, reward_bound=0.478, batch=93 
130: loss=0.328, reward_mean=0.540, reward_bound=0.478, batch=121 
131: loss=0.326, reward_mean=0.480, reward_bound=0.478, batch=135 
133: loss=0.435, reward_mean=0.560, reward_bound=0.000, batch=56 
134: loss=0.417, reward_mean=0.520, reward_bound=0.000, batch=108 
135: loss=0.391, reward_mean=0.440, reward_bound=0.430, batch=133 
136: loss=0.292, reward_mean=0.570, reward_bound=0.478, batch=114 
137: loss=0.298, reward_mean=0.630, reward_bound=0.478, batch=149 
139: loss=0.426, reward_mean=0.620, reward_bound=0.000, batch=62 
140: loss=0.396, reward_mean=0.600, reward_bound=0.430, batch=110 
141: loss=0.292, reward_mean=0.600, reward_bound=0.478, batch=87 
142: loss=0.286, reward_mean=0.600, reward_bound=0.478, batch=115 
143: loss=0.287, reward_mean=0.580, reward_bound=0.478, batch=148 
145: loss=0.446, reward_mean=0.590, reward_bound=0.000, batch=59 
146: loss=0.384, reward_mean=0.740, reward_bound=0.430, batch=110 
