



2020-05-07 04-53-41

0: loss=1.386, reward_mean=0.010, reward_bound=0.000, batch=1 
1: loss=1.383, reward_mean=0.030, reward_bound=0.000, batch=4 
2: loss=1.382, reward_mean=0.010, reward_bound=0.000, batch=5 
3: loss=1.383, reward_mean=0.020, reward_bound=0.000, batch=7 
4: loss=1.382, reward_mean=0.010, reward_bound=0.000, batch=8 
5: loss=1.381, reward_mean=0.020, reward_bound=0.000, batch=10 
6: loss=1.379, reward_mean=0.000, reward_bound=0.000, batch=10 
7: loss=1.379, reward_mean=0.020, reward_bound=0.000, batch=12 
8: loss=1.378, reward_mean=0.000, reward_bound=0.000, batch=12 
9: loss=1.377, reward_mean=0.020, reward_bound=0.000, batch=14 
10: loss=1.375, reward_mean=0.010, reward_bound=0.000, batch=15 
11: loss=1.373, reward_mean=0.010, reward_bound=0.000, batch=16 
12: loss=1.371, reward_mean=0.010, reward_bound=0.000, batch=17 
13: loss=1.369, reward_mean=0.010, reward_bound=0.000, batch=18 
14: loss=1.370, reward_mean=0.010, reward_bound=0.000, batch=19 
15: loss=1.369, reward_mean=0.010, reward_bound=0.000, batch=20 
16: loss=1.366, reward_mean=0.020, reward_bound=0.000, batch=22 
17: loss=1.365, reward_mean=0.000, reward_bound=0.000, batch=22 
18: loss=1.363, reward_mean=0.020, reward_bound=0.000, batch=24 
19: loss=1.361, reward_mean=0.030, reward_bound=0.000, batch=27 
20: loss=1.359, reward_mean=0.020, reward_bound=0.000, batch=29 
21: loss=1.358, reward_mean=0.010, reward_bound=0.000, batch=30 
22: loss=1.357, reward_mean=0.010, reward_bound=0.000, batch=31 
23: loss=1.355, reward_mean=0.020, reward_bound=0.000, batch=33 
24: loss=1.352, reward_mean=0.030, reward_bound=0.000, batch=36 
25: loss=1.350, reward_mean=0.000, reward_bound=0.000, batch=36 
26: loss=1.347, reward_mean=0.040, reward_bound=0.000, batch=40 
27: loss=1.343, reward_mean=0.030, reward_bound=0.000, batch=43 
28: loss=1.341, reward_mean=0.000, reward_bound=0.000, batch=43 
29: loss=1.338, reward_mean=0.020, reward_bound=0.000, batch=45 
30: loss=1.335, reward_mean=0.020, reward_bound=0.000, batch=47 
31: loss=1.332, reward_mean=0.010, reward_bound=0.000, batch=48 
32: loss=1.329, reward_mean=0.010, reward_bound=0.000, batch=49 
33: loss=1.328, reward_mean=0.020, reward_bound=0.000, batch=51 
34: loss=1.327, reward_mean=0.050, reward_bound=0.000, batch=56 
35: loss=1.323, reward_mean=0.030, reward_bound=0.000, batch=59 
36: loss=1.319, reward_mean=0.030, reward_bound=0.000, batch=62 
37: loss=1.319, reward_mean=0.050, reward_bound=0.000, batch=67 
38: loss=1.318, reward_mean=0.020, reward_bound=0.000, batch=69 
39: loss=1.313, reward_mean=0.060, reward_bound=0.000, batch=75 
40: loss=1.310, reward_mean=0.020, reward_bound=0.000, batch=77 
41: loss=1.307, reward_mean=0.060, reward_bound=0.000, batch=83 
42: loss=1.302, reward_mean=0.060, reward_bound=0.000, batch=89 
43: loss=1.298, reward_mean=0.070, reward_bound=0.000, batch=96 
44: loss=1.296, reward_mean=0.040, reward_bound=0.000, batch=100 
45: loss=1.293, reward_mean=0.030, reward_bound=0.000, batch=103 
46: loss=1.290, reward_mean=0.050, reward_bound=0.000, batch=108 
47: loss=1.285, reward_mean=0.050, reward_bound=0.000, batch=113 
48: loss=1.282, reward_mean=0.030, reward_bound=0.000, batch=116 
49: loss=1.279, reward_mean=0.050, reward_bound=0.000, batch=121 
50: loss=1.273, reward_mean=0.070, reward_bound=0.000, batch=128 
51: loss=1.269, reward_mean=0.080, reward_bound=0.000, batch=136 
52: loss=1.269, reward_mean=0.060, reward_bound=0.000, batch=142 
53: loss=1.268, reward_mean=0.060, reward_bound=0.000, batch=148 
54: loss=1.263, reward_mean=0.060, reward_bound=0.000, batch=154 
55: loss=1.258, reward_mean=0.080, reward_bound=0.000, batch=162 
56: loss=1.255, reward_mean=0.040, reward_bound=0.000, batch=166 
57: loss=1.252, reward_mean=0.030, reward_bound=0.000, batch=169 
58: loss=1.248, reward_mean=0.090, reward_bound=0.000, batch=178 
59: loss=1.246, reward_mean=0.090, reward_bound=0.000, batch=187 
60: loss=1.242, reward_mean=0.050, reward_bound=0.000, batch=192 
61: loss=1.239, reward_mean=0.050, reward_bound=0.000, batch=197 
62: loss=1.235, reward_mean=0.100, reward_bound=0.000, batch=207 
63: loss=1.230, reward_mean=0.080, reward_bound=0.009, batch=215 
64: loss=1.202, reward_mean=0.170, reward_bound=0.109, batch=221 
65: loss=1.181, reward_mean=0.180, reward_bound=0.150, batch=224 
66: loss=1.169, reward_mean=0.100, reward_bound=0.167, batch=225 
67: loss=1.155, reward_mean=0.120, reward_bound=0.185, batch=225 
68: loss=1.139, reward_mean=0.100, reward_bound=0.206, batch=224 
69: loss=1.122, reward_mean=0.100, reward_bound=0.229, batch=216 
70: loss=1.116, reward_mean=0.100, reward_bound=0.229, batch=220 
