



2020-05-07 04-59-02

0: loss=1.389, reward_mean=0.010, reward_bound=0.000, batch=1 
1: loss=1.386, reward_mean=0.000, reward_bound=0.000, batch=1 
2: loss=1.383, reward_mean=0.000, reward_bound=0.000, batch=1 
3: loss=1.381, reward_mean=0.000, reward_bound=0.000, batch=1 
4: loss=1.387, reward_mean=0.020, reward_bound=0.000, batch=3 
5: loss=1.380, reward_mean=0.040, reward_bound=0.000, batch=7 
6: loss=1.377, reward_mean=0.020, reward_bound=0.000, batch=9 
7: loss=1.374, reward_mean=0.010, reward_bound=0.000, batch=10 
8: loss=1.373, reward_mean=0.020, reward_bound=0.000, batch=12 
9: loss=1.372, reward_mean=0.010, reward_bound=0.000, batch=13 
10: loss=1.370, reward_mean=0.010, reward_bound=0.000, batch=14 
11: loss=1.365, reward_mean=0.030, reward_bound=0.000, batch=17 
12: loss=1.361, reward_mean=0.030, reward_bound=0.000, batch=20 
13: loss=1.358, reward_mean=0.020, reward_bound=0.000, batch=22 
14: loss=1.355, reward_mean=0.020, reward_bound=0.000, batch=24 
15: loss=1.353, reward_mean=0.020, reward_bound=0.000, batch=26 
16: loss=1.350, reward_mean=0.040, reward_bound=0.000, batch=30 
17: loss=1.349, reward_mean=0.030, reward_bound=0.000, batch=33 
18: loss=1.348, reward_mean=0.030, reward_bound=0.000, batch=36 
19: loss=1.346, reward_mean=0.020, reward_bound=0.000, batch=38 
20: loss=1.346, reward_mean=0.030, reward_bound=0.000, batch=41 
21: loss=1.344, reward_mean=0.030, reward_bound=0.000, batch=44 
22: loss=1.340, reward_mean=0.030, reward_bound=0.000, batch=47 
23: loss=1.336, reward_mean=0.030, reward_bound=0.000, batch=50 
24: loss=1.333, reward_mean=0.030, reward_bound=0.000, batch=53 
25: loss=1.330, reward_mean=0.020, reward_bound=0.000, batch=55 
26: loss=1.325, reward_mean=0.020, reward_bound=0.000, batch=57 
27: loss=1.321, reward_mean=0.030, reward_bound=0.000, batch=60 
28: loss=1.317, reward_mean=0.030, reward_bound=0.000, batch=63 
29: loss=1.312, reward_mean=0.020, reward_bound=0.000, batch=65 
30: loss=1.311, reward_mean=0.040, reward_bound=0.000, batch=69 
31: loss=1.304, reward_mean=0.040, reward_bound=0.000, batch=73 
32: loss=1.303, reward_mean=0.020, reward_bound=0.000, batch=75 
33: loss=1.296, reward_mean=0.040, reward_bound=0.000, batch=79 
34: loss=1.286, reward_mean=0.080, reward_bound=0.000, batch=87 
35: loss=1.279, reward_mean=0.050, reward_bound=0.000, batch=92 
36: loss=1.274, reward_mean=0.050, reward_bound=0.000, batch=97 
37: loss=1.266, reward_mean=0.090, reward_bound=0.000, batch=106 
38: loss=1.259, reward_mean=0.060, reward_bound=0.000, batch=112 
39: loss=1.253, reward_mean=0.050, reward_bound=0.000, batch=117 
40: loss=1.245, reward_mean=0.100, reward_bound=0.000, batch=127 
41: loss=1.235, reward_mean=0.100, reward_bound=0.000, batch=137 
42: loss=1.225, reward_mean=0.110, reward_bound=0.000, batch=148 
43: loss=1.216, reward_mean=0.110, reward_bound=0.000, batch=159 
44: loss=1.205, reward_mean=0.120, reward_bound=0.000, batch=171 
45: loss=1.201, reward_mean=0.090, reward_bound=0.000, batch=180 
46: loss=1.197, reward_mean=0.030, reward_bound=0.000, batch=183 
47: loss=1.191, reward_mean=0.150, reward_bound=0.028, batch=198 
48: loss=1.172, reward_mean=0.130, reward_bound=0.065, batch=207 
49: loss=1.143, reward_mean=0.170, reward_bound=0.135, batch=213 
50: loss=1.121, reward_mean=0.140, reward_bound=0.150, batch=217 
51: loss=1.098, reward_mean=0.110, reward_bound=0.185, batch=210 
52: loss=1.090, reward_mean=0.110, reward_bound=0.206, batch=220 
53: loss=1.071, reward_mean=0.170, reward_bound=0.222, batch=224 
54: loss=1.041, reward_mean=0.200, reward_bound=0.229, batch=222 
55: loss=1.020, reward_mean=0.160, reward_bound=0.254, batch=220 
56: loss=0.989, reward_mean=0.160, reward_bound=0.282, batch=202 
57: loss=0.958, reward_mean=0.170, reward_bound=0.314, batch=178 
58: loss=0.944, reward_mean=0.200, reward_bound=0.314, batch=192 
59: loss=0.886, reward_mean=0.270, reward_bound=0.349, batch=165 
60: loss=0.877, reward_mean=0.220, reward_bound=0.206, batch=183 
61: loss=0.862, reward_mean=0.210, reward_bound=0.301, batch=198 
62: loss=0.833, reward_mean=0.260, reward_bound=0.349, batch=205 
63: loss=0.778, reward_mean=0.260, reward_bound=0.387, batch=177 
64: loss=0.707, reward_mean=0.360, reward_bound=0.430, batch=134 
65: loss=0.707, reward_mean=0.270, reward_bound=0.000, batch=161 
66: loss=0.659, reward_mean=0.340, reward_bound=0.430, batch=171 
67: loss=0.638, reward_mean=0.400, reward_bound=0.430, batch=188 
68: loss=0.617, reward_mean=0.370, reward_bound=0.478, batch=213 
69: loss=0.507, reward_mean=0.390, reward_bound=0.478, batch=133 
70: loss=0.493, reward_mean=0.400, reward_bound=0.430, batch=159 
71: loss=0.486, reward_mean=0.420, reward_bound=0.478, batch=189 
72: loss=0.469, reward_mean=0.360, reward_bound=0.478, batch=218 
73: loss=0.458, reward_mean=0.340, reward_bound=0.478, batch=246 
74: loss=0.399, reward_mean=0.450, reward_bound=0.478, batch=232 
76: loss=0.558, reward_mean=0.510, reward_bound=0.000, batch=51 
77: loss=0.540, reward_mean=0.490, reward_bound=0.000, batch=100 
78: loss=0.417, reward_mean=0.560, reward_bound=0.430, batch=129 
79: loss=0.403, reward_mean=0.710, reward_bound=0.478, batch=190 
80: loss=0.320, reward_mean=0.590, reward_bound=0.478, batch=176 
82: loss=0.444, reward_mean=0.700, reward_bound=0.271, batch=70 
83: loss=0.294, reward_mean=0.790, reward_bound=0.478, batch=94 
85: loss=0.351, reward_mean=0.750, reward_bound=0.430, batch=68 
86: loss=0.260, reward_mean=0.840, reward_bound=0.478, batch=100 




2020-05-07 04-59-36

