



2020-05-07 05-03-03

2: loss=1.391, reward_mean=0.020, reward_bound=0.000, batch=2 
3: loss=1.390, reward_mean=0.010, reward_bound=0.000, batch=3 
4: loss=1.388, reward_mean=0.020, reward_bound=0.000, batch=5 
5: loss=1.389, reward_mean=0.010, reward_bound=0.000, batch=6 
6: loss=1.388, reward_mean=0.000, reward_bound=0.000, batch=6 
7: loss=1.389, reward_mean=0.010, reward_bound=0.000, batch=7 
8: loss=1.388, reward_mean=0.010, reward_bound=0.000, batch=8 
9: loss=1.387, reward_mean=0.010, reward_bound=0.000, batch=9 
10: loss=1.387, reward_mean=0.020, reward_bound=0.000, batch=11 
11: loss=1.386, reward_mean=0.030, reward_bound=0.000, batch=14 
12: loss=1.385, reward_mean=0.030, reward_bound=0.000, batch=17 
13: loss=1.384, reward_mean=0.040, reward_bound=0.000, batch=21 
14: loss=1.383, reward_mean=0.020, reward_bound=0.000, batch=23 
15: loss=1.382, reward_mean=0.000, reward_bound=0.000, batch=23 
16: loss=1.381, reward_mean=0.010, reward_bound=0.000, batch=24 
17: loss=1.379, reward_mean=0.020, reward_bound=0.000, batch=26 
18: loss=1.378, reward_mean=0.040, reward_bound=0.000, batch=30 
19: loss=1.376, reward_mean=0.030, reward_bound=0.000, batch=33 
20: loss=1.374, reward_mean=0.020, reward_bound=0.000, batch=35 
21: loss=1.372, reward_mean=0.000, reward_bound=0.000, batch=35 
22: loss=1.370, reward_mean=0.030, reward_bound=0.000, batch=38 
23: loss=1.367, reward_mean=0.030, reward_bound=0.000, batch=41 
24: loss=1.364, reward_mean=0.020, reward_bound=0.000, batch=43 
25: loss=1.361, reward_mean=0.020, reward_bound=0.000, batch=45 
26: loss=1.356, reward_mean=0.060, reward_bound=0.000, batch=51 
27: loss=1.352, reward_mean=0.080, reward_bound=0.000, batch=59 
28: loss=1.348, reward_mean=0.020, reward_bound=0.000, batch=61 
29: loss=1.343, reward_mean=0.040, reward_bound=0.000, batch=65 
30: loss=1.338, reward_mean=0.050, reward_bound=0.000, batch=70 
31: loss=1.332, reward_mean=0.080, reward_bound=0.000, batch=78 
32: loss=1.325, reward_mean=0.110, reward_bound=0.000, batch=89 
33: loss=1.317, reward_mean=0.070, reward_bound=0.000, batch=96 
34: loss=1.310, reward_mean=0.070, reward_bound=0.000, batch=103 
35: loss=1.302, reward_mean=0.060, reward_bound=0.000, batch=109 
36: loss=1.296, reward_mean=0.040, reward_bound=0.000, batch=113 
37: loss=1.289, reward_mean=0.080, reward_bound=0.000, batch=121 
38: loss=1.278, reward_mean=0.110, reward_bound=0.000, batch=132 
39: loss=1.267, reward_mean=0.100, reward_bound=0.000, batch=142 
40: loss=1.256, reward_mean=0.110, reward_bound=0.000, batch=153 
41: loss=1.244, reward_mean=0.140, reward_bound=0.000, batch=167 
42: loss=1.231, reward_mean=0.110, reward_bound=0.000, batch=178 
43: loss=1.219, reward_mean=0.090, reward_bound=0.000, batch=187 
44: loss=1.190, reward_mean=0.170, reward_bound=0.069, batch=201 
45: loss=1.158, reward_mean=0.170, reward_bound=0.150, batch=210 
46: loss=1.133, reward_mean=0.120, reward_bound=0.185, batch=213 
47: loss=1.091, reward_mean=0.160, reward_bound=0.229, batch=213 
48: loss=1.063, reward_mean=0.170, reward_bound=0.271, batch=219 
49: loss=1.029, reward_mean=0.150, reward_bound=0.282, batch=220 
50: loss=0.995, reward_mean=0.110, reward_bound=0.314, batch=215 
51: loss=0.952, reward_mean=0.160, reward_bound=0.349, batch=204 
52: loss=0.904, reward_mean=0.170, reward_bound=0.387, batch=179 
