



2020-05-07 14-45-24

0: loss=1.379, reward_mean=0.020, reward_bound=0.000, batch=2 
1: loss=1.378, reward_mean=0.010, reward_bound=0.000, batch=3 
2: loss=1.372, reward_mean=0.020, reward_bound=0.000, batch=5 
3: loss=1.378, reward_mean=0.020, reward_bound=0.000, batch=7 
4: loss=1.376, reward_mean=0.030, reward_bound=0.000, batch=10 
5: loss=1.372, reward_mean=0.020, reward_bound=0.000, batch=12 
6: loss=1.369, reward_mean=0.010, reward_bound=0.000, batch=13 
7: loss=1.367, reward_mean=0.000, reward_bound=0.000, batch=13 
8: loss=1.364, reward_mean=0.000, reward_bound=0.000, batch=13 
9: loss=1.359, reward_mean=0.020, reward_bound=0.000, batch=15 
10: loss=1.357, reward_mean=0.000, reward_bound=0.000, batch=15 
11: loss=1.356, reward_mean=0.020, reward_bound=0.000, batch=17 
12: loss=1.354, reward_mean=0.010, reward_bound=0.000, batch=18 
13: loss=1.347, reward_mean=0.040, reward_bound=0.000, batch=22 
14: loss=1.344, reward_mean=0.010, reward_bound=0.000, batch=23 
15: loss=1.340, reward_mean=0.020, reward_bound=0.000, batch=25 
16: loss=1.336, reward_mean=0.060, reward_bound=0.000, batch=31 
17: loss=1.334, reward_mean=0.000, reward_bound=0.000, batch=31 
18: loss=1.330, reward_mean=0.030, reward_bound=0.000, batch=34 
19: loss=1.324, reward_mean=0.050, reward_bound=0.000, batch=39 
20: loss=1.320, reward_mean=0.010, reward_bound=0.000, batch=40 
21: loss=1.319, reward_mean=0.020, reward_bound=0.000, batch=42 
22: loss=1.318, reward_mean=0.020, reward_bound=0.000, batch=44 
23: loss=1.314, reward_mean=0.010, reward_bound=0.000, batch=45 
24: loss=1.313, reward_mean=0.040, reward_bound=0.000, batch=49 
25: loss=1.306, reward_mean=0.060, reward_bound=0.000, batch=55 
26: loss=1.304, reward_mean=0.010, reward_bound=0.000, batch=56 
27: loss=1.301, reward_mean=0.020, reward_bound=0.000, batch=58 
28: loss=1.296, reward_mean=0.020, reward_bound=0.000, batch=60 
29: loss=1.293, reward_mean=0.020, reward_bound=0.000, batch=62 
30: loss=1.289, reward_mean=0.010, reward_bound=0.000, batch=63 
31: loss=1.287, reward_mean=0.010, reward_bound=0.000, batch=64 
32: loss=1.279, reward_mean=0.050, reward_bound=0.000, batch=69 
33: loss=1.277, reward_mean=0.030, reward_bound=0.000, batch=72 
34: loss=1.269, reward_mean=0.080, reward_bound=0.000, batch=80 
35: loss=1.269, reward_mean=0.030, reward_bound=0.000, batch=83 
36: loss=1.265, reward_mean=0.020, reward_bound=0.000, batch=85 
37: loss=1.262, reward_mean=0.030, reward_bound=0.000, batch=88 
38: loss=1.258, reward_mean=0.060, reward_bound=0.000, batch=94 
39: loss=1.254, reward_mean=0.040, reward_bound=0.000, batch=98 
40: loss=1.255, reward_mean=0.050, reward_bound=0.000, batch=103 
41: loss=1.254, reward_mean=0.050, reward_bound=0.000, batch=108 
42: loss=1.248, reward_mean=0.070, reward_bound=0.000, batch=115 
43: loss=1.246, reward_mean=0.040, reward_bound=0.000, batch=119 
44: loss=1.241, reward_mean=0.040, reward_bound=0.000, batch=123 
45: loss=1.239, reward_mean=0.050, reward_bound=0.000, batch=128 
46: loss=1.230, reward_mean=0.090, reward_bound=0.000, batch=137 
47: loss=1.230, reward_mean=0.070, reward_bound=0.000, batch=144 
48: loss=1.227, reward_mean=0.090, reward_bound=0.000, batch=153 
49: loss=1.224, reward_mean=0.040, reward_bound=0.000, batch=157 
50: loss=1.219, reward_mean=0.050, reward_bound=0.000, batch=162 
51: loss=1.215, reward_mean=0.050, reward_bound=0.000, batch=167 
52: loss=1.212, reward_mean=0.060, reward_bound=0.000, batch=173 
53: loss=1.207, reward_mean=0.040, reward_bound=0.000, batch=177 
54: loss=1.202, reward_mean=0.060, reward_bound=0.000, batch=183 
55: loss=1.198, reward_mean=0.090, reward_bound=0.000, batch=192 
56: loss=1.200, reward_mean=0.060, reward_bound=0.000, batch=198 
57: loss=1.197, reward_mean=0.060, reward_bound=0.000, batch=204 
58: loss=1.194, reward_mean=0.050, reward_bound=0.000, batch=209 
59: loss=1.193, reward_mean=0.050, reward_bound=0.000, batch=214 
60: loss=1.187, reward_mean=0.060, reward_bound=0.034, batch=220 
61: loss=1.172, reward_mean=0.080, reward_bound=0.052, batch=222 
62: loss=1.159, reward_mean=0.100, reward_bound=0.098, batch=224 
63: loss=1.145, reward_mean=0.050, reward_bound=0.109, batch=224 
64: loss=1.130, reward_mean=0.080, reward_bound=0.122, batch=226 
65: loss=1.113, reward_mean=0.090, reward_bound=0.150, batch=223 
66: loss=1.099, reward_mean=0.100, reward_bound=0.167, batch=224 
67: loss=1.097, reward_mean=0.020, reward_bound=0.000, batch=226 
68: loss=1.075, reward_mean=0.030, reward_bound=0.185, batch=213 
69: loss=1.067, reward_mean=0.070, reward_bound=0.178, batch=219 
70: loss=1.045, reward_mean=0.100, reward_bound=0.206, batch=209 
71: loss=1.045, reward_mean=0.090, reward_bound=0.167, batch=215 
72: loss=1.017, reward_mean=0.130, reward_bound=0.229, batch=208 
73: loss=1.013, reward_mean=0.120, reward_bound=0.229, batch=214 
74: loss=1.010, reward_mean=0.070, reward_bound=0.105, batch=220 
75: loss=1.003, reward_mean=0.050, reward_bound=0.211, batch=224 
76: loss=0.982, reward_mean=0.120, reward_bound=0.254, batch=212 
77: loss=0.978, reward_mean=0.080, reward_bound=0.163, batch=218 
78: loss=0.973, reward_mean=0.100, reward_bound=0.231, batch=222 
