



2020-05-07 14-41-23

0: loss=1.377, reward_mean=0.010, reward_bound=0.000, batch=1 
1: loss=1.376, reward_mean=0.030, reward_bound=0.000, batch=4 
2: loss=1.379, reward_mean=0.030, reward_bound=0.000, batch=7 
3: loss=1.372, reward_mean=0.020, reward_bound=0.000, batch=9 
4: loss=1.374, reward_mean=0.040, reward_bound=0.000, batch=13 
5: loss=1.374, reward_mean=0.010, reward_bound=0.000, batch=14 
6: loss=1.371, reward_mean=0.010, reward_bound=0.000, batch=15 
7: loss=1.367, reward_mean=0.030, reward_bound=0.000, batch=18 
8: loss=1.366, reward_mean=0.010, reward_bound=0.000, batch=19 
9: loss=1.363, reward_mean=0.020, reward_bound=0.000, batch=21 
10: loss=1.361, reward_mean=0.030, reward_bound=0.000, batch=24 
11: loss=1.358, reward_mean=0.020, reward_bound=0.000, batch=26 
12: loss=1.355, reward_mean=0.050, reward_bound=0.000, batch=31 
13: loss=1.352, reward_mean=0.010, reward_bound=0.000, batch=32 
14: loss=1.347, reward_mean=0.060, reward_bound=0.000, batch=38 
15: loss=1.342, reward_mean=0.020, reward_bound=0.000, batch=40 
16: loss=1.338, reward_mean=0.010, reward_bound=0.000, batch=41 
17: loss=1.335, reward_mean=0.010, reward_bound=0.000, batch=42 
18: loss=1.331, reward_mean=0.030, reward_bound=0.000, batch=45 
19: loss=1.326, reward_mean=0.020, reward_bound=0.000, batch=47 
20: loss=1.325, reward_mean=0.040, reward_bound=0.000, batch=51 
21: loss=1.320, reward_mean=0.020, reward_bound=0.000, batch=53 
22: loss=1.319, reward_mean=0.060, reward_bound=0.000, batch=59 
23: loss=1.314, reward_mean=0.010, reward_bound=0.000, batch=60 
24: loss=1.312, reward_mean=0.030, reward_bound=0.000, batch=63 
25: loss=1.308, reward_mean=0.030, reward_bound=0.000, batch=66 
26: loss=1.302, reward_mean=0.010, reward_bound=0.000, batch=67 
27: loss=1.297, reward_mean=0.030, reward_bound=0.000, batch=70 
28: loss=1.295, reward_mean=0.020, reward_bound=0.000, batch=72 
29: loss=1.299, reward_mean=0.030, reward_bound=0.000, batch=75 
30: loss=1.296, reward_mean=0.010, reward_bound=0.000, batch=76 
31: loss=1.305, reward_mean=0.040, reward_bound=0.000, batch=80 
32: loss=1.303, reward_mean=0.050, reward_bound=0.000, batch=85 
33: loss=1.304, reward_mean=0.010, reward_bound=0.000, batch=86 
34: loss=1.299, reward_mean=0.020, reward_bound=0.000, batch=88 
35: loss=1.291, reward_mean=0.070, reward_bound=0.000, batch=95 
36: loss=1.284, reward_mean=0.060, reward_bound=0.000, batch=101 
37: loss=1.278, reward_mean=0.070, reward_bound=0.000, batch=108 
38: loss=1.272, reward_mean=0.050, reward_bound=0.000, batch=113 
39: loss=1.269, reward_mean=0.020, reward_bound=0.000, batch=115 
40: loss=1.266, reward_mean=0.040, reward_bound=0.000, batch=119 
41: loss=1.263, reward_mean=0.020, reward_bound=0.000, batch=121 
42: loss=1.262, reward_mean=0.040, reward_bound=0.000, batch=125 
43: loss=1.257, reward_mean=0.090, reward_bound=0.000, batch=134 
