



2020-05-07 20-13-56

0: loss=1.387, reward_mean=0.020, reward_bound=0.000, batch=2 
1: loss=1.384, reward_mean=0.000, reward_bound=0.000, batch=2 
2: loss=1.384, reward_mean=0.010, reward_bound=0.000, batch=3 
3: loss=1.382, reward_mean=0.000, reward_bound=0.000, batch=3 
4: loss=1.380, reward_mean=0.010, reward_bound=0.000, batch=4 
5: loss=1.376, reward_mean=0.050, reward_bound=0.000, batch=9 
6: loss=1.370, reward_mean=0.040, reward_bound=0.000, batch=13 
7: loss=1.369, reward_mean=0.020, reward_bound=0.000, batch=15 
8: loss=1.363, reward_mean=0.020, reward_bound=0.000, batch=17 
9: loss=1.354, reward_mean=0.010, reward_bound=0.000, batch=18 
10: loss=1.351, reward_mean=0.020, reward_bound=0.000, batch=20 
11: loss=1.357, reward_mean=0.040, reward_bound=0.000, batch=24 
12: loss=1.348, reward_mean=0.010, reward_bound=0.000, batch=25 
13: loss=1.338, reward_mean=0.010, reward_bound=0.000, batch=26 
14: loss=1.339, reward_mean=0.040, reward_bound=0.000, batch=30 
15: loss=1.332, reward_mean=0.050, reward_bound=0.000, batch=35 
16: loss=1.329, reward_mean=0.050, reward_bound=0.000, batch=40 
17: loss=1.307, reward_mean=0.050, reward_bound=0.000, batch=45 
18: loss=1.294, reward_mean=0.060, reward_bound=0.000, batch=51 
19: loss=1.271, reward_mean=0.080, reward_bound=0.000, batch=59 
20: loss=1.275, reward_mean=0.060, reward_bound=0.000, batch=65 
21: loss=1.260, reward_mean=0.120, reward_bound=0.000, batch=77 
22: loss=1.249, reward_mean=0.110, reward_bound=0.000, batch=88 
23: loss=1.256, reward_mean=0.090, reward_bound=0.000, batch=97 
24: loss=1.226, reward_mean=0.120, reward_bound=0.000, batch=109 
25: loss=1.222, reward_mean=0.060, reward_bound=0.000, batch=115 
26: loss=1.221, reward_mean=0.080, reward_bound=0.000, batch=123 
27: loss=1.222, reward_mean=0.090, reward_bound=0.000, batch=132 
28: loss=1.217, reward_mean=0.090, reward_bound=0.000, batch=141 
29: loss=1.205, reward_mean=0.150, reward_bound=0.000, batch=156 
30: loss=1.197, reward_mean=0.110, reward_bound=0.000, batch=167 
31: loss=1.179, reward_mean=0.110, reward_bound=0.000, batch=178 
32: loss=1.182, reward_mean=0.140, reward_bound=0.000, batch=192 
33: loss=1.159, reward_mean=0.140, reward_bound=0.042, batch=203 
34: loss=1.159, reward_mean=0.070, reward_bound=0.000, batch=210 
35: loss=1.153, reward_mean=0.080, reward_bound=0.039, batch=217 
36: loss=1.144, reward_mean=0.070, reward_bound=0.060, batch=222 
37: loss=1.149, reward_mean=0.110, reward_bound=0.113, batch=225 
38: loss=1.150, reward_mean=0.110, reward_bound=0.135, batch=225 
39: loss=1.145, reward_mean=0.100, reward_bound=0.167, batch=219 
40: loss=1.152, reward_mean=0.100, reward_bound=0.185, batch=215 
41: loss=1.137, reward_mean=0.130, reward_bound=0.206, batch=211 
42: loss=1.121, reward_mean=0.140, reward_bound=0.229, batch=204 
43: loss=1.114, reward_mean=0.120, reward_bound=0.108, batch=213 
44: loss=1.107, reward_mean=0.160, reward_bound=0.229, batch=218 
45: loss=1.097, reward_mean=0.150, reward_bound=0.254, batch=194 
46: loss=1.073, reward_mean=0.110, reward_bound=0.000, batch=205 
47: loss=1.087, reward_mean=0.200, reward_bound=0.210, batch=213 
48: loss=1.070, reward_mean=0.170, reward_bound=0.282, batch=195 
49: loss=1.063, reward_mean=0.140, reward_bound=0.082, batch=206 
50: loss=1.054, reward_mean=0.240, reward_bound=0.254, batch=213 
51: loss=1.041, reward_mean=0.140, reward_bound=0.314, batch=185 
52: loss=1.033, reward_mean=0.180, reward_bound=0.260, batch=199 
53: loss=1.030, reward_mean=0.150, reward_bound=0.282, batch=208 
54: loss=0.985, reward_mean=0.220, reward_bound=0.349, batch=172 
55: loss=0.980, reward_mean=0.090, reward_bound=0.000, batch=181 
56: loss=0.973, reward_mean=0.180, reward_bound=0.282, batch=196 
57: loss=0.965, reward_mean=0.130, reward_bound=0.349, batch=206 
58: loss=0.907, reward_mean=0.140, reward_bound=0.387, batch=153 
59: loss=0.910, reward_mean=0.160, reward_bound=0.000, batch=169 
60: loss=0.900, reward_mean=0.180, reward_bound=0.000, batch=187 
61: loss=0.891, reward_mean=0.240, reward_bound=0.387, batch=199 
62: loss=0.796, reward_mean=0.200, reward_bound=0.430, batch=130 
63: loss=0.803, reward_mean=0.230, reward_bound=0.000, batch=153 
64: loss=0.799, reward_mean=0.220, reward_bound=0.000, batch=175 
65: loss=0.750, reward_mean=0.340, reward_bound=0.430, batch=180 
66: loss=0.671, reward_mean=0.280, reward_bound=0.478, batch=74 
67: loss=0.685, reward_mean=0.250, reward_bound=0.000, batch=99 
68: loss=0.696, reward_mean=0.260, reward_bound=0.000, batch=125 
69: loss=0.692, reward_mean=0.260, reward_bound=0.000, batch=151 
70: loss=0.619, reward_mean=0.420, reward_bound=0.430, batch=165 
71: loss=0.530, reward_mean=0.380, reward_bound=0.478, batch=140 
72: loss=0.516, reward_mean=0.470, reward_bound=0.478, batch=150 
73: loss=0.457, reward_mean=0.440, reward_bound=0.478, batch=165 
74: loss=0.471, reward_mean=0.460, reward_bound=0.478, batch=184 
76: loss=0.663, reward_mean=0.450, reward_bound=0.000, batch=45 
77: loss=0.701, reward_mean=0.520, reward_bound=0.000, batch=97 
78: loss=0.589, reward_mean=0.620, reward_bound=0.430, batch=134 
79: loss=0.468, reward_mean=0.600, reward_bound=0.478, batch=102 
81: loss=0.590, reward_mean=0.660, reward_bound=0.000, batch=66 
82: loss=0.548, reward_mean=0.640, reward_bound=0.430, batch=113 
83: loss=0.327, reward_mean=0.530, reward_bound=0.478, batch=119 
84: loss=0.320, reward_mean=0.500, reward_bound=0.500, batch=153 
86: loss=0.566, reward_mean=0.660, reward_bound=0.000, batch=66 
87: loss=0.348, reward_mean=0.730, reward_bound=0.478, batch=104 
89: loss=0.636, reward_mean=0.800, reward_bound=0.418, batch=70 
90: loss=0.531, reward_mean=0.680, reward_bound=0.430, batch=108 
91: loss=0.539, reward_mean=0.770, reward_bound=0.478, batch=151 
