



2020-05-07 19-38-11

0: loss=1.377, reward_mean=0.030, reward_bound=0.000, batch=3 
1: loss=1.378, reward_mean=0.010, reward_bound=0.000, batch=4 
2: loss=1.382, reward_mean=0.020, reward_bound=0.000, batch=6 
3: loss=1.380, reward_mean=0.000, reward_bound=0.000, batch=6 
4: loss=1.378, reward_mean=0.010, reward_bound=0.000, batch=7 
5: loss=1.368, reward_mean=0.050, reward_bound=0.000, batch=12 
6: loss=1.366, reward_mean=0.000, reward_bound=0.000, batch=12 
7: loss=1.363, reward_mean=0.020, reward_bound=0.000, batch=14 
8: loss=1.361, reward_mean=0.030, reward_bound=0.000, batch=17 
9: loss=1.359, reward_mean=0.010, reward_bound=0.000, batch=18 
10: loss=1.355, reward_mean=0.010, reward_bound=0.000, batch=19 
11: loss=1.352, reward_mean=0.010, reward_bound=0.000, batch=20 
12: loss=1.348, reward_mean=0.010, reward_bound=0.000, batch=21 
13: loss=1.345, reward_mean=0.020, reward_bound=0.000, batch=23 
14: loss=1.341, reward_mean=0.020, reward_bound=0.000, batch=25 
15: loss=1.338, reward_mean=0.040, reward_bound=0.000, batch=29 
16: loss=1.333, reward_mean=0.020, reward_bound=0.000, batch=31 
17: loss=1.326, reward_mean=0.040, reward_bound=0.000, batch=35 
18: loss=1.324, reward_mean=0.020, reward_bound=0.000, batch=37 
19: loss=1.322, reward_mean=0.020, reward_bound=0.000, batch=39 
20: loss=1.318, reward_mean=0.010, reward_bound=0.000, batch=40 
21: loss=1.315, reward_mean=0.010, reward_bound=0.000, batch=41 
22: loss=1.310, reward_mean=0.040, reward_bound=0.000, batch=45 
23: loss=1.307, reward_mean=0.030, reward_bound=0.000, batch=48 
24: loss=1.305, reward_mean=0.010, reward_bound=0.000, batch=49 
25: loss=1.302, reward_mean=0.010, reward_bound=0.000, batch=50 
26: loss=1.300, reward_mean=0.020, reward_bound=0.000, batch=52 
27: loss=1.297, reward_mean=0.030, reward_bound=0.000, batch=55 
28: loss=1.290, reward_mean=0.040, reward_bound=0.000, batch=59 
29: loss=1.289, reward_mean=0.010, reward_bound=0.000, batch=60 
30: loss=1.283, reward_mean=0.060, reward_bound=0.000, batch=66 
31: loss=1.279, reward_mean=0.020, reward_bound=0.000, batch=68 
32: loss=1.274, reward_mean=0.050, reward_bound=0.000, batch=73 
33: loss=1.271, reward_mean=0.010, reward_bound=0.000, batch=74 
34: loss=1.267, reward_mean=0.040, reward_bound=0.000, batch=78 
35: loss=1.270, reward_mean=0.060, reward_bound=0.000, batch=84 
36: loss=1.271, reward_mean=0.070, reward_bound=0.000, batch=91 
37: loss=1.268, reward_mean=0.050, reward_bound=0.000, batch=96 
38: loss=1.262, reward_mean=0.050, reward_bound=0.000, batch=101 
39: loss=1.259, reward_mean=0.070, reward_bound=0.000, batch=108 
40: loss=1.263, reward_mean=0.040, reward_bound=0.000, batch=112 
41: loss=1.258, reward_mean=0.040, reward_bound=0.000, batch=116 
42: loss=1.257, reward_mean=0.020, reward_bound=0.000, batch=118 
43: loss=1.252, reward_mean=0.070, reward_bound=0.000, batch=125 
44: loss=1.250, reward_mean=0.030, reward_bound=0.000, batch=128 
45: loss=1.244, reward_mean=0.090, reward_bound=0.000, batch=137 
46: loss=1.242, reward_mean=0.030, reward_bound=0.000, batch=140 
47: loss=1.233, reward_mean=0.070, reward_bound=0.000, batch=147 
48: loss=1.231, reward_mean=0.030, reward_bound=0.000, batch=150 
49: loss=1.232, reward_mean=0.050, reward_bound=0.000, batch=155 
50: loss=1.228, reward_mean=0.030, reward_bound=0.000, batch=158 
51: loss=1.228, reward_mean=0.040, reward_bound=0.000, batch=162 
52: loss=1.229, reward_mean=0.060, reward_bound=0.000, batch=168 
53: loss=1.226, reward_mean=0.040, reward_bound=0.000, batch=172 
54: loss=1.225, reward_mean=0.060, reward_bound=0.000, batch=178 
55: loss=1.220, reward_mean=0.060, reward_bound=0.000, batch=184 
56: loss=1.219, reward_mean=0.050, reward_bound=0.000, batch=189 
57: loss=1.218, reward_mean=0.070, reward_bound=0.000, batch=196 
58: loss=1.215, reward_mean=0.090, reward_bound=0.000, batch=205 
59: loss=1.212, reward_mean=0.070, reward_bound=0.000, batch=212 
60: loss=1.203, reward_mean=0.080, reward_bound=0.047, batch=218 
61: loss=1.203, reward_mean=0.040, reward_bound=0.006, batch=222 
62: loss=1.193, reward_mean=0.060, reward_bound=0.074, batch=225 
63: loss=1.184, reward_mean=0.090, reward_bound=0.101, batch=227 
64: loss=1.173, reward_mean=0.100, reward_bound=0.122, batch=228 
65: loss=1.163, reward_mean=0.050, reward_bound=0.135, batch=228 
66: loss=1.151, reward_mean=0.080, reward_bound=0.150, batch=226 
67: loss=1.142, reward_mean=0.060, reward_bound=0.167, batch=226 
68: loss=1.133, reward_mean=0.090, reward_bound=0.185, batch=227 
69: loss=1.129, reward_mean=0.030, reward_bound=0.195, batch=229 
70: loss=1.108, reward_mean=0.060, reward_bound=0.206, batch=219 
71: loss=1.092, reward_mean=0.080, reward_bound=0.229, batch=212 
72: loss=1.090, reward_mean=0.050, reward_bound=0.000, batch=217 
73: loss=1.062, reward_mean=0.100, reward_bound=0.254, batch=200 
74: loss=1.062, reward_mean=0.090, reward_bound=0.000, batch=209 
75: loss=1.051, reward_mean=0.150, reward_bound=0.254, batch=215 
76: loss=1.021, reward_mean=0.070, reward_bound=0.282, batch=190 
77: loss=1.027, reward_mean=0.080, reward_bound=0.000, batch=198 
78: loss=1.017, reward_mean=0.130, reward_bound=0.167, batch=206 
79: loss=1.006, reward_mean=0.150, reward_bound=0.268, batch=214 
80: loss=0.969, reward_mean=0.170, reward_bound=0.314, batch=192 
81: loss=0.968, reward_mean=0.100, reward_bound=0.000, batch=202 
82: loss=0.961, reward_mean=0.100, reward_bound=0.161, batch=211 
83: loss=0.944, reward_mean=0.160, reward_bound=0.314, batch=213 
84: loss=0.893, reward_mean=0.150, reward_bound=0.349, batch=172 
85: loss=0.883, reward_mean=0.200, reward_bound=0.282, batch=189 
86: loss=0.888, reward_mean=0.100, reward_bound=0.000, batch=199 
87: loss=0.896, reward_mean=0.130, reward_bound=0.174, batch=209 
88: loss=0.863, reward_mean=0.190, reward_bound=0.314, batch=214 
89: loss=0.838, reward_mean=0.210, reward_bound=0.349, batch=216 
90: loss=0.833, reward_mean=0.160, reward_bound=0.349, batch=219 
91: loss=0.748, reward_mean=0.180, reward_bound=0.387, batch=164 
92: loss=0.773, reward_mean=0.250, reward_bound=0.254, batch=184 
93: loss=0.782, reward_mean=0.210, reward_bound=0.280, batch=199 
94: loss=0.762, reward_mean=0.290, reward_bound=0.314, batch=207 
95: loss=0.761, reward_mean=0.160, reward_bound=0.314, batch=214 
96: loss=0.729, reward_mean=0.240, reward_bound=0.349, batch=217 
97: loss=0.701, reward_mean=0.240, reward_bound=0.387, batch=214 
98: loss=0.591, reward_mean=0.230, reward_bound=0.430, batch=140 
99: loss=0.679, reward_mean=0.200, reward_bound=0.000, batch=160 
100: loss=0.723, reward_mean=0.260, reward_bound=0.216, batch=182 
101: loss=0.680, reward_mean=0.280, reward_bound=0.282, batch=192 
102: loss=0.640, reward_mean=0.350, reward_bound=0.349, batch=201 
103: loss=0.599, reward_mean=0.340, reward_bound=0.387, batch=205 
104: loss=0.593, reward_mean=0.250, reward_bound=0.387, batch=212 
105: loss=0.538, reward_mean=0.270, reward_bound=0.430, batch=192 
106: loss=0.532, reward_mean=0.320, reward_bound=0.430, batch=202 
107: loss=0.525, reward_mean=0.330, reward_bound=0.445, batch=211 
108: loss=0.363, reward_mean=0.290, reward_bound=0.478, batch=110 
109: loss=0.639, reward_mean=0.380, reward_bound=0.163, batch=147 
110: loss=0.625, reward_mean=0.370, reward_bound=0.206, batch=172 
111: loss=0.531, reward_mean=0.370, reward_bound=0.349, batch=180 
112: loss=0.493, reward_mean=0.460, reward_bound=0.387, batch=189 
113: loss=0.407, reward_mean=0.420, reward_bound=0.430, batch=177 
114: loss=0.406, reward_mean=0.390, reward_bound=0.430, batch=191 
115: loss=0.316, reward_mean=0.400, reward_bound=0.478, batch=161 
116: loss=0.335, reward_mean=0.420, reward_bound=0.430, batch=177 
117: loss=0.361, reward_mean=0.430, reward_bound=0.387, batch=193 
118: loss=0.343, reward_mean=0.470, reward_bound=0.430, batch=204 
119: loss=0.290, reward_mean=0.430, reward_bound=0.478, batch=193 
121: loss=1.177, reward_mean=0.480, reward_bound=0.000, batch=48 
122: loss=1.163, reward_mean=0.470, reward_bound=0.000, batch=95 
123: loss=1.024, reward_mean=0.520, reward_bound=0.254, batch=133 
124: loss=0.816, reward_mean=0.470, reward_bound=0.314, batch=155 
125: loss=0.731, reward_mean=0.470, reward_bound=0.349, batch=167 
126: loss=0.722, reward_mean=0.390, reward_bound=0.349, batch=183 
127: loss=0.628, reward_mean=0.370, reward_bound=0.387, batch=171 
128: loss=0.483, reward_mean=0.430, reward_bound=0.430, batch=143 
129: loss=0.555, reward_mean=0.430, reward_bound=0.349, batch=167 
130: loss=0.528, reward_mean=0.490, reward_bound=0.387, batch=180 
131: loss=0.482, reward_mean=0.480, reward_bound=0.430, batch=179 
132: loss=0.475, reward_mean=0.440, reward_bound=0.450, batch=195 
133: loss=0.297, reward_mean=0.410, reward_bound=0.478, batch=115 
134: loss=0.395, reward_mean=0.450, reward_bound=0.314, batch=146 
135: loss=0.467, reward_mean=0.400, reward_bound=0.314, batch=171 
136: loss=0.398, reward_mean=0.460, reward_bound=0.387, batch=178 
137: loss=0.356, reward_mean=0.400, reward_bound=0.430, batch=175 
138: loss=0.378, reward_mean=0.410, reward_bound=0.396, batch=192 
139: loss=0.368, reward_mean=0.440, reward_bound=0.430, batch=200 
140: loss=0.288, reward_mean=0.510, reward_bound=0.478, batch=169 
141: loss=0.305, reward_mean=0.530, reward_bound=0.478, batch=189 
142: loss=0.323, reward_mean=0.440, reward_bound=0.478, batch=215 
143: loss=0.279, reward_mean=0.490, reward_bound=0.478, batch=205 
144: loss=0.275, reward_mean=0.510, reward_bound=0.489, batch=213 
146: loss=1.002, reward_mean=0.540, reward_bound=0.000, batch=54 
147: loss=1.032, reward_mean=0.480, reward_bound=0.000, batch=102 
148: loss=0.964, reward_mean=0.480, reward_bound=0.236, batch=141 
149: loss=0.851, reward_mean=0.360, reward_bound=0.282, batch=156 
150: loss=0.742, reward_mean=0.480, reward_bound=0.349, batch=166 
151: loss=0.612, reward_mean=0.470, reward_bound=0.387, batch=154 
152: loss=0.631, reward_mean=0.410, reward_bound=0.349, batch=173 
153: loss=0.466, reward_mean=0.430, reward_bound=0.430, batch=121 
154: loss=0.546, reward_mean=0.390, reward_bound=0.314, batch=153 
155: loss=0.526, reward_mean=0.470, reward_bound=0.349, batch=176 
156: loss=0.492, reward_mean=0.430, reward_bound=0.387, batch=188 
157: loss=0.461, reward_mean=0.490, reward_bound=0.430, batch=184 
158: loss=0.458, reward_mean=0.400, reward_bound=0.430, batch=198 
159: loss=0.450, reward_mean=0.380, reward_bound=0.478, batch=213 
160: loss=0.310, reward_mean=0.460, reward_bound=0.478, batch=130 
161: loss=0.412, reward_mean=0.400, reward_bound=0.314, batch=159 
162: loss=0.405, reward_mean=0.410, reward_bound=0.349, batch=177 
163: loss=0.333, reward_mean=0.450, reward_bound=0.430, batch=178 
164: loss=0.342, reward_mean=0.450, reward_bound=0.430, batch=193 
165: loss=0.286, reward_mean=0.540, reward_bound=0.478, batch=180 
