



2020-05-07 19-55-22

2: loss=1.398, reward_mean=0.010, reward_bound=0.000, batch=1 
3: loss=1.388, reward_mean=0.030, reward_bound=0.000, batch=4 
4: loss=1.384, reward_mean=0.010, reward_bound=0.000, batch=5 
5: loss=1.381, reward_mean=0.030, reward_bound=0.000, batch=8 
6: loss=1.378, reward_mean=0.000, reward_bound=0.000, batch=8 
7: loss=1.375, reward_mean=0.000, reward_bound=0.000, batch=8 
8: loss=1.375, reward_mean=0.040, reward_bound=0.000, batch=12 
9: loss=1.370, reward_mean=0.010, reward_bound=0.000, batch=13 
10: loss=1.367, reward_mean=0.010, reward_bound=0.000, batch=14 
11: loss=1.366, reward_mean=0.010, reward_bound=0.000, batch=15 
12: loss=1.363, reward_mean=0.000, reward_bound=0.000, batch=15 
13: loss=1.359, reward_mean=0.010, reward_bound=0.000, batch=16 
14: loss=1.357, reward_mean=0.020, reward_bound=0.000, batch=18 
15: loss=1.354, reward_mean=0.050, reward_bound=0.000, batch=23 
16: loss=1.346, reward_mean=0.040, reward_bound=0.000, batch=27 
17: loss=1.342, reward_mean=0.000, reward_bound=0.000, batch=27 
18: loss=1.338, reward_mean=0.030, reward_bound=0.000, batch=30 
19: loss=1.329, reward_mean=0.020, reward_bound=0.000, batch=32 
20: loss=1.332, reward_mean=0.030, reward_bound=0.000, batch=35 
21: loss=1.329, reward_mean=0.030, reward_bound=0.000, batch=38 
22: loss=1.323, reward_mean=0.020, reward_bound=0.000, batch=40 
23: loss=1.320, reward_mean=0.010, reward_bound=0.000, batch=41 
24: loss=1.316, reward_mean=0.010, reward_bound=0.000, batch=42 
25: loss=1.313, reward_mean=0.000, reward_bound=0.000, batch=42 
26: loss=1.308, reward_mean=0.070, reward_bound=0.000, batch=49 
27: loss=1.300, reward_mean=0.040, reward_bound=0.000, batch=53 
28: loss=1.301, reward_mean=0.030, reward_bound=0.000, batch=56 
29: loss=1.301, reward_mean=0.030, reward_bound=0.000, batch=59 
30: loss=1.291, reward_mean=0.030, reward_bound=0.000, batch=62 
31: loss=1.291, reward_mean=0.030, reward_bound=0.000, batch=65 
32: loss=1.292, reward_mean=0.020, reward_bound=0.000, batch=67 
33: loss=1.289, reward_mean=0.060, reward_bound=0.000, batch=73 
