



2020-05-07 20-59-57

0: loss=1.373, reward_mean=0.010, reward_bound=0.000, batch=1 
1: loss=1.372, reward_mean=0.030, reward_bound=0.000, batch=4 
2: loss=1.368, reward_mean=0.010, reward_bound=0.000, batch=5 
3: loss=1.366, reward_mean=0.020, reward_bound=0.000, batch=7 
4: loss=1.363, reward_mean=0.000, reward_bound=0.000, batch=7 
5: loss=1.359, reward_mean=0.000, reward_bound=0.000, batch=7 
6: loss=1.365, reward_mean=0.040, reward_bound=0.000, batch=11 
7: loss=1.363, reward_mean=0.000, reward_bound=0.000, batch=11 
8: loss=1.357, reward_mean=0.030, reward_bound=0.000, batch=14 
9: loss=1.352, reward_mean=0.010, reward_bound=0.000, batch=15 
10: loss=1.346, reward_mean=0.020, reward_bound=0.000, batch=17 
11: loss=1.340, reward_mean=0.010, reward_bound=0.000, batch=18 
12: loss=1.331, reward_mean=0.040, reward_bound=0.000, batch=22 
13: loss=1.323, reward_mean=0.040, reward_bound=0.000, batch=26 
14: loss=1.316, reward_mean=0.030, reward_bound=0.000, batch=29 
15: loss=1.305, reward_mean=0.050, reward_bound=0.000, batch=34 
16: loss=1.302, reward_mean=0.040, reward_bound=0.000, batch=38 
17: loss=1.296, reward_mean=0.070, reward_bound=0.000, batch=45 
18: loss=1.289, reward_mean=0.020, reward_bound=0.000, batch=47 
19: loss=1.277, reward_mean=0.060, reward_bound=0.000, batch=53 
20: loss=1.262, reward_mean=0.120, reward_bound=0.000, batch=65 
21: loss=1.252, reward_mean=0.100, reward_bound=0.000, batch=75 
22: loss=1.241, reward_mean=0.100, reward_bound=0.000, batch=85 
23: loss=1.232, reward_mean=0.100, reward_bound=0.000, batch=95 
24: loss=1.214, reward_mean=0.100, reward_bound=0.000, batch=105 
25: loss=1.203, reward_mean=0.090, reward_bound=0.000, batch=114 
26: loss=1.193, reward_mean=0.090, reward_bound=0.000, batch=123 
27: loss=1.165, reward_mean=0.110, reward_bound=0.000, batch=134 
28: loss=1.147, reward_mean=0.170, reward_bound=0.000, batch=151 
29: loss=1.133, reward_mean=0.120, reward_bound=0.000, batch=163 
30: loss=1.110, reward_mean=0.180, reward_bound=0.000, batch=181 
31: loss=1.085, reward_mean=0.190, reward_bound=0.109, batch=195 
32: loss=1.069, reward_mean=0.230, reward_bound=0.150, batch=203 
33: loss=1.053, reward_mean=0.220, reward_bound=0.206, batch=200 
34: loss=1.041, reward_mean=0.190, reward_bound=0.229, batch=201 
35: loss=1.028, reward_mean=0.180, reward_bound=0.254, batch=202 
36: loss=1.019, reward_mean=0.170, reward_bound=0.282, batch=192 
37: loss=1.012, reward_mean=0.160, reward_bound=0.292, batch=204 
38: loss=0.994, reward_mean=0.150, reward_bound=0.314, batch=191 
39: loss=0.977, reward_mean=0.180, reward_bound=0.349, batch=166 
40: loss=0.971, reward_mean=0.150, reward_bound=0.000, batch=181 
41: loss=0.964, reward_mean=0.100, reward_bound=0.000, batch=191 
42: loss=0.958, reward_mean=0.080, reward_bound=0.000, batch=199 
43: loss=0.919, reward_mean=0.150, reward_bound=0.387, batch=152 
44: loss=0.913, reward_mean=0.090, reward_bound=0.000, batch=161 
45: loss=0.906, reward_mean=0.120, reward_bound=0.000, batch=173 
46: loss=0.898, reward_mean=0.140, reward_bound=0.000, batch=187 
47: loss=0.892, reward_mean=0.090, reward_bound=0.000, batch=196 
48: loss=0.880, reward_mean=0.120, reward_bound=0.349, batch=205 
49: loss=0.870, reward_mean=0.160, reward_bound=0.396, batch=213 
50: loss=0.834, reward_mean=0.160, reward_bound=0.430, batch=130 
51: loss=0.828, reward_mean=0.100, reward_bound=0.000, batch=140 
52: loss=0.821, reward_mean=0.130, reward_bound=0.000, batch=153 
53: loss=0.816, reward_mean=0.190, reward_bound=0.000, batch=172 
54: loss=0.810, reward_mean=0.180, reward_bound=0.105, batch=190 
55: loss=0.806, reward_mean=0.110, reward_bound=0.000, batch=201 
56: loss=0.800, reward_mean=0.060, reward_bound=0.000, batch=207 
57: loss=0.780, reward_mean=0.130, reward_bound=0.387, batch=214 
58: loss=0.761, reward_mean=0.160, reward_bound=0.430, batch=199 
59: loss=0.754, reward_mean=0.280, reward_bound=0.478, batch=215 
60: loss=0.694, reward_mean=0.150, reward_bound=0.478, batch=81 
61: loss=0.697, reward_mean=0.170, reward_bound=0.000, batch=98 
62: loss=0.698, reward_mean=0.120, reward_bound=0.000, batch=110 
63: loss=0.708, reward_mean=0.110, reward_bound=0.000, batch=121 
64: loss=0.708, reward_mean=0.160, reward_bound=0.000, batch=137 
65: loss=0.693, reward_mean=0.160, reward_bound=0.000, batch=153 
66: loss=0.688, reward_mean=0.230, reward_bound=0.000, batch=176 
67: loss=0.681, reward_mean=0.200, reward_bound=0.349, batch=190 
68: loss=0.684, reward_mean=0.190, reward_bound=0.274, batch=203 
69: loss=0.678, reward_mean=0.300, reward_bound=0.387, batch=208 
70: loss=0.646, reward_mean=0.270, reward_bound=0.430, batch=186 
71: loss=0.632, reward_mean=0.210, reward_bound=0.454, batch=200 
72: loss=0.585, reward_mean=0.230, reward_bound=0.478, batch=151 
73: loss=0.585, reward_mean=0.130, reward_bound=0.000, batch=164 
74: loss=0.589, reward_mean=0.190, reward_bound=0.000, batch=183 
75: loss=0.596, reward_mean=0.130, reward_bound=0.000, batch=196 
76: loss=0.554, reward_mean=0.200, reward_bound=0.478, batch=194 
78: loss=0.603, reward_mean=0.280, reward_bound=0.000, batch=28 
79: loss=0.594, reward_mean=0.260, reward_bound=0.000, batch=54 
80: loss=0.602, reward_mean=0.270, reward_bound=0.000, batch=81 
81: loss=0.591, reward_mean=0.330, reward_bound=0.000, batch=114 
82: loss=0.615, reward_mean=0.420, reward_bound=0.165, batch=150 
83: loss=0.631, reward_mean=0.390, reward_bound=0.185, batch=172 
84: loss=0.624, reward_mean=0.260, reward_bound=0.229, batch=187 
85: loss=0.618, reward_mean=0.350, reward_bound=0.314, batch=199 
86: loss=0.589, reward_mean=0.330, reward_bound=0.387, batch=200 
87: loss=0.552, reward_mean=0.400, reward_bound=0.430, batch=188 
88: loss=0.549, reward_mean=0.280, reward_bound=0.478, batch=213 
89: loss=0.460, reward_mean=0.360, reward_bound=0.478, batch=147 
90: loss=0.478, reward_mean=0.260, reward_bound=0.279, batch=173 
91: loss=0.444, reward_mean=0.400, reward_bound=0.478, batch=183 
93: loss=0.538, reward_mean=0.440, reward_bound=0.000, batch=44 
94: loss=0.567, reward_mean=0.490, reward_bound=0.000, batch=93 
95: loss=0.543, reward_mean=0.510, reward_bound=0.387, batch=128 
96: loss=0.522, reward_mean=0.580, reward_bound=0.430, batch=142 
97: loss=0.441, reward_mean=0.490, reward_bound=0.478, batch=107 
98: loss=0.437, reward_mean=0.400, reward_bound=0.430, batch=141 
99: loss=0.406, reward_mean=0.420, reward_bound=0.478, batch=145 
101: loss=0.514, reward_mean=0.410, reward_bound=0.000, batch=41 
102: loss=0.488, reward_mean=0.340, reward_bound=0.000, batch=75 
103: loss=0.454, reward_mean=0.500, reward_bound=0.430, batch=120 
104: loss=0.368, reward_mean=0.460, reward_bound=0.478, batch=116 
105: loss=0.367, reward_mean=0.510, reward_bound=0.478, batch=144 
106: loss=0.369, reward_mean=0.510, reward_bound=0.478, batch=166 
108: loss=0.510, reward_mean=0.580, reward_bound=0.000, batch=58 
109: loss=0.479, reward_mean=0.550, reward_bound=0.387, batch=107 
110: loss=0.367, reward_mean=0.670, reward_bound=0.478, batch=101 
111: loss=0.350, reward_mean=0.560, reward_bound=0.478, batch=138 
113: loss=0.446, reward_mean=0.640, reward_bound=0.000, batch=64 
114: loss=0.425, reward_mean=0.550, reward_bound=0.430, batch=113 
115: loss=0.311, reward_mean=0.670, reward_bound=0.478, batch=124 
117: loss=0.470, reward_mean=0.570, reward_bound=0.000, batch=57 
118: loss=0.379, reward_mean=0.600, reward_bound=0.430, batch=109 
119: loss=0.290, reward_mean=0.640, reward_bound=0.478, batch=117 
121: loss=0.410, reward_mean=0.610, reward_bound=0.000, batch=61 
122: loss=0.278, reward_mean=0.750, reward_bound=0.478, batch=83 
123: loss=0.282, reward_mean=0.570, reward_bound=0.478, batch=112 
125: loss=0.356, reward_mean=0.650, reward_bound=0.000, batch=65 
126: loss=0.278, reward_mean=0.680, reward_bound=0.478, batch=88 
128: loss=0.356, reward_mean=0.600, reward_bound=0.000, batch=60 
129: loss=0.242, reward_mean=0.660, reward_bound=0.478, batch=91 
131: loss=0.342, reward_mean=0.600, reward_bound=0.000, batch=60 
132: loss=0.242, reward_mean=0.700, reward_bound=0.478, batch=97 
134: loss=0.314, reward_mean=0.670, reward_bound=0.000, batch=67 
135: loss=0.229, reward_mean=0.660, reward_bound=0.478, batch=109 
137: loss=0.271, reward_mean=0.750, reward_bound=0.478, batch=73 
138: loss=0.206, reward_mean=0.650, reward_bound=0.478, batch=110 
140: loss=0.340, reward_mean=0.720, reward_bound=0.478, batch=72 
141: loss=0.216, reward_mean=0.830, reward_bound=0.478, batch=116 




2020-05-07 21-04-26

0: loss=1.389, reward_mean=0.010, reward_bound=0.000, batch=1 
1: loss=1.390, reward_mean=0.010, reward_bound=0.000, batch=2 
2: loss=1.387, reward_mean=0.000, reward_bound=0.000, batch=2 
3: loss=1.388, reward_mean=0.010, reward_bound=0.000, batch=3 
4: loss=1.385, reward_mean=0.000, reward_bound=0.000, batch=3 
5: loss=1.381, reward_mean=0.030, reward_bound=0.000, batch=6 
6: loss=1.379, reward_mean=0.030, reward_bound=0.000, batch=9 
7: loss=1.376, reward_mean=0.000, reward_bound=0.000, batch=9 
8: loss=1.369, reward_mean=0.060, reward_bound=0.000, batch=15 
9: loss=1.365, reward_mean=0.010, reward_bound=0.000, batch=16 
10: loss=1.361, reward_mean=0.030, reward_bound=0.000, batch=19 
11: loss=1.354, reward_mean=0.040, reward_bound=0.000, batch=23 
12: loss=1.345, reward_mean=0.050, reward_bound=0.000, batch=28 
13: loss=1.339, reward_mean=0.020, reward_bound=0.000, batch=30 
14: loss=1.333, reward_mean=0.040, reward_bound=0.000, batch=34 
15: loss=1.326, reward_mean=0.040, reward_bound=0.000, batch=38 
16: loss=1.318, reward_mean=0.030, reward_bound=0.000, batch=41 
17: loss=1.308, reward_mean=0.070, reward_bound=0.000, batch=48 
18: loss=1.301, reward_mean=0.030, reward_bound=0.000, batch=51 
19: loss=1.289, reward_mean=0.070, reward_bound=0.000, batch=58 
20: loss=1.274, reward_mean=0.080, reward_bound=0.000, batch=66 
21: loss=1.260, reward_mean=0.050, reward_bound=0.000, batch=71 
22: loss=1.245, reward_mean=0.060, reward_bound=0.000, batch=77 
23: loss=1.228, reward_mean=0.050, reward_bound=0.000, batch=82 
24: loss=1.216, reward_mean=0.080, reward_bound=0.000, batch=90 
25: loss=1.203, reward_mean=0.090, reward_bound=0.000, batch=99 
26: loss=1.179, reward_mean=0.150, reward_bound=0.000, batch=114 
27: loss=1.161, reward_mean=0.090, reward_bound=0.000, batch=123 
28: loss=1.139, reward_mean=0.140, reward_bound=0.000, batch=137 
29: loss=1.123, reward_mean=0.090, reward_bound=0.000, batch=146 
30: loss=1.096, reward_mean=0.170, reward_bound=0.000, batch=163 
31: loss=1.073, reward_mean=0.150, reward_bound=0.000, batch=178 
32: loss=1.047, reward_mean=0.180, reward_bound=0.098, batch=193 
33: loss=1.036, reward_mean=0.140, reward_bound=0.109, batch=204 
34: loss=1.003, reward_mean=0.200, reward_bound=0.150, batch=211 
35: loss=1.004, reward_mean=0.120, reward_bound=0.167, batch=214 
36: loss=0.997, reward_mean=0.160, reward_bound=0.185, batch=217 
37: loss=1.005, reward_mean=0.180, reward_bound=0.229, batch=210 
38: loss=0.991, reward_mean=0.150, reward_bound=0.254, batch=210 
39: loss=0.985, reward_mean=0.220, reward_bound=0.282, batch=208 
40: loss=0.954, reward_mean=0.230, reward_bound=0.314, batch=203 
41: loss=0.934, reward_mean=0.160, reward_bound=0.349, batch=177 
42: loss=0.928, reward_mean=0.100, reward_bound=0.000, batch=187 
43: loss=0.895, reward_mean=0.210, reward_bound=0.387, batch=147 
44: loss=0.893, reward_mean=0.140, reward_bound=0.000, batch=161 
45: loss=0.894, reward_mean=0.160, reward_bound=0.000, batch=177 
46: loss=0.888, reward_mean=0.170, reward_bound=0.226, batch=194 
47: loss=0.869, reward_mean=0.170, reward_bound=0.384, batch=206 
48: loss=0.856, reward_mean=0.180, reward_bound=0.387, batch=206 
49: loss=0.828, reward_mean=0.220, reward_bound=0.430, batch=122 
50: loss=0.818, reward_mean=0.150, reward_bound=0.000, batch=137 
51: loss=0.808, reward_mean=0.160, reward_bound=0.000, batch=153 
52: loss=0.800, reward_mean=0.150, reward_bound=0.000, batch=168 
53: loss=0.802, reward_mean=0.150, reward_bound=0.000, batch=183 
54: loss=0.787, reward_mean=0.170, reward_bound=0.387, batch=191 
55: loss=0.765, reward_mean=0.190, reward_bound=0.430, batch=181 
56: loss=0.757, reward_mean=0.160, reward_bound=0.430, batch=194 
57: loss=0.752, reward_mean=0.110, reward_bound=0.000, batch=205 
58: loss=0.703, reward_mean=0.190, reward_bound=0.478, batch=85 
59: loss=0.707, reward_mean=0.160, reward_bound=0.000, batch=101 
60: loss=0.702, reward_mean=0.110, reward_bound=0.000, batch=112 
61: loss=0.705, reward_mean=0.160, reward_bound=0.000, batch=128 
62: loss=0.706, reward_mean=0.120, reward_bound=0.000, batch=140 
63: loss=0.699, reward_mean=0.170, reward_bound=0.000, batch=157 
64: loss=0.690, reward_mean=0.130, reward_bound=0.000, batch=170 
65: loss=0.681, reward_mean=0.180, reward_bound=0.000, batch=188 
66: loss=0.656, reward_mean=0.240, reward_bound=0.430, batch=195 
67: loss=0.631, reward_mean=0.210, reward_bound=0.478, batch=151 
68: loss=0.630, reward_mean=0.310, reward_bound=0.387, batch=175 
69: loss=0.632, reward_mean=0.150, reward_bound=0.000, batch=190 
70: loss=0.618, reward_mean=0.140, reward_bound=0.349, batch=202 
71: loss=0.603, reward_mean=0.150, reward_bound=0.430, batch=207 
72: loss=0.577, reward_mean=0.240, reward_bound=0.478, batch=195 
73: loss=0.571, reward_mean=0.160, reward_bound=0.478, batch=204 
74: loss=0.565, reward_mean=0.130, reward_bound=0.526, batch=213 
76: loss=0.605, reward_mean=0.200, reward_bound=0.000, batch=20 
77: loss=0.640, reward_mean=0.190, reward_bound=0.000, batch=39 
78: loss=0.627, reward_mean=0.210, reward_bound=0.000, batch=60 
79: loss=0.644, reward_mean=0.250, reward_bound=0.000, batch=85 
80: loss=0.621, reward_mean=0.340, reward_bound=0.000, batch=119 
81: loss=0.619, reward_mean=0.300, reward_bound=0.000, batch=149 
82: loss=0.634, reward_mean=0.370, reward_bound=0.141, batch=174 
83: loss=0.638, reward_mean=0.310, reward_bound=0.226, batch=192 
84: loss=0.632, reward_mean=0.290, reward_bound=0.282, batch=202 
85: loss=0.609, reward_mean=0.360, reward_bound=0.387, batch=189 
86: loss=0.568, reward_mean=0.350, reward_bound=0.430, batch=175 
87: loss=0.570, reward_mean=0.250, reward_bound=0.440, batch=192 
88: loss=0.485, reward_mean=0.330, reward_bound=0.478, batch=118 
89: loss=0.496, reward_mean=0.220, reward_bound=0.000, batch=140 
90: loss=0.470, reward_mean=0.330, reward_bound=0.478, batch=149 
91: loss=0.478, reward_mean=0.330, reward_bound=0.478, batch=175 
92: loss=0.457, reward_mean=0.390, reward_bound=0.478, batch=178 
94: loss=0.611, reward_mean=0.330, reward_bound=0.000, batch=33 
95: loss=0.599, reward_mean=0.340, reward_bound=0.000, batch=67 
96: loss=0.602, reward_mean=0.440, reward_bound=0.000, batch=111 
97: loss=0.578, reward_mean=0.410, reward_bound=0.387, batch=141 
98: loss=0.543, reward_mean=0.420, reward_bound=0.430, batch=149 
99: loss=0.524, reward_mean=0.500, reward_bound=0.478, batch=187 
100: loss=0.422, reward_mean=0.460, reward_bound=0.478, batch=121 
101: loss=0.414, reward_mean=0.420, reward_bound=0.478, batch=148 
